,2011-10-31,2012-10-31,2013-11-30,2014-10-31
CashPeriodIncreaseDecrease,-23249.000,-10059.000,44088.000,-14652.000
CurrentFederalTaxExpenseBenefit,,,,8400.000
CurrentIncomeTaxExpenseBenefit,0.000,0.000,0.000,
DebtInstrumentDecreaseForgiveness,,,59047.000,
EarningsPerShareBasicAndDiluted,-0.010,-0.010,-0.010,-0.010
EffectiveIncomeTaxRateContinuingOperations,,0.340,0.340,0.340
FederalIncomeTaxExpenseBenefitContinuingOperations,,7043.000,11095.000,
FeesAndCommissionsDepositorAccounts,0.000,0.000,-105.000,-134.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,-32632.000,-24707.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-37268.000,-20715.000,-32645.000,-24707.000
IncomeTaxesPaid,0.000,0.000,0.000,
IncreaseDecreaseInAccruedLiabilities,8519.000,-4069.000,1620.000,580.000
IncreaseDecreaseInPrepaidExpense,4000.000,-675.000,-17047.000,9475.000
InterestIncomeOther,,,13.000,
InterestPaid,0.000,0.000,0.000,
NetCashProvidedByUsedInFinancingActivities,1500.000,15400.000,92147.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,1500.000,15400.000,92147.000,
NetCashProvidedByUsedInOperatingActivities,-24749.000,-25459.000,-48059.000,-14652.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-24749.000,-25459.000,-48059.000,-14652.000
NetIncomeLoss,-37268.000,-20715.000,-32632.000,-24707.000
OperatingExpenses,37268.000,20715.000,32645.000,24707.000
OperatingIncomeLoss,,-20715.000,-32632.000,
ProceedsFromIssuanceOrSaleOfEquity,0.000,0.000,50000.000,
ProceedsFromRelatedPartyDebt,1500.000,15400.000,42147.000,
ProfessionalFees,37268.000,20715.000,32540.000,24573.000
ProfitLoss,-37268.000,,,
RepaymentsOfRelatedPartyDebt,,,,1700.000
Revenues,0.000,0.000,0.000,
SalesRevenueNet,0.000,0.000,0.000,
StockIssuedDuringPeriodSharesIssuedForCash,,,1000000.000,
StockIssuedDuringPeriodValueNewIssues,,,50000.000,
ValuationAllowanceDeferredTaxAssetChangeInAmount,,7043.000,11095.000,8400.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,2350000.000
