,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AdjustmentsToAdditionalPaidInCapitalOther,,,,,,138396.000,44164.000,,189704.000,,
AdvertisingExpense,0.000,,,,,,,,,,
AmortizationOfDebtDiscountPremium,,,,,109372.000,,,,119134.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,15346.000,,,,41774.000,,,,-10591.000,,
ComprehensiveIncomeNetOfTax,,,,,,,,,,-562484.000,-223468019.000
Depreciation,,,,,108.000,,,,76.000,,
DerivativeGainLossOnDerivativeNet,,-270977.000,614586.000,,-75102.000,-83058.000,-76114.000,83885.000,-59068.000,-288408.000,-223166269.000
EarningsPerShareBasicAndDiluted,-0.000,-0.010,0.010,-0.010,-0.030,-0.010,-0.010,0.000,-0.000,-0.000,-161.670
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,-9.000,,
EquityContributionsToFinanceLeveragedBuyout,-15000.000,,,,,,,,,,
FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,,,75102.000,,,,59068.000,,
FairValueAssumptionsExpectedDividendRate,,,,,,,,,0.000,,
FairValueAssumptionsExpectedVolatilityRate,,,,,,,,,3.870,,
GeneralAndAdministrativeExpense,24289.000,60558.000,136136.000,133393.000,871489.000,60068.000,85141.000,416918.000,134995.000,132046.000,135892.000
GrossProfit,,,,,64223.000,76254.000,32623.000,7958.000,,,
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,,-402068.000,416797.000,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,-1508375.000,-876539.000,-397620.000,-556598.000,-367994.000,-562484.000,-223468019.000
IncreaseDecreaseInAccountsPayable,42192.000,,,,48363.000,,,,3418.000,,
IncreaseDecreaseInAccruedLiabilities,23420.000,,,,15070.000,,,,176522.000,,
IncreaseDecreaseInDeferredRevenue,14194.000,,,,-8129.000,,,,,,
IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,,,,,29011.000,,,,0.000,,
IncreaseDecreaseInPrepaidExpense,-1261.000,,,,-3287.000,,,,-2606.000,,
InterestExpense,7558.000,12339.000,65316.000,66634.000,156693.000,354253.000,213614.000,150342.000,160809.000,133656.000,127027.000
InterestOnConvertibleDebtNetOfTax,,,,,,,,,160809.000,,
InterestPaid,,,,,63542.000,,,,,,
InterestPaidNet,,,,,2500.000,,,,,,
NetCashProvidedByUsedInFinancingActivities,17500.000,,,,176250.000,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,17500.000,,,,176250.000,,,,,,
NetCashProvidedByUsedInOperatingActivities,-2154.000,,,,-134476.000,,,,-10582.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-2154.000,,,,-134476.000,,,,-10582.000,,
NetIncomeLoss,-80699.000,-402068.000,416797.000,-396114.000,-1508375.000,-876539.000,-397620.000,-556598.000,-367994.000,-562484.000,-223468019.000
NetIncomeLossAttributableToNoncontrollingInterest,,,,,-5615.000,,220.000,,,,
NetIncomeLossAttributableToNonredeemableNoncontrollingInterest,,,,,,-876539.000,-397400.000,,-368043.000,,
NetIncomeLossAttributableToRedeemableNoncontrollingInterest,,,,,,,,,49.000,,
OperatingExpenses,125824.000,174403.000,273329.000,347511.000,1340803.000,515482.000,140515.000,498099.000,148117.000,140420.000,174723.000
OperatingIncomeLoss,,-118752.000,-132473.000,,-1276580.000,-439228.000,-107892.000,-490141.000,-148117.000,-140420.000,-174723.000
ProceedsFromNotesPayable,2500.000,,,,313000.000,,,,,,
ProceedsFromRepaymentsOfRelatedPartyDebt,,,,,-2500.000,,5000.000,,,,
ProfessionalFees,61893.000,58488.000,40511.000,127327.000,411448.000,418698.000,62979.000,47915.000,10549.000,7890.000,38591.000
ProfitLoss,,,,,-1502760.000,,,,-368043.000,-562484.000,-223468019.000
RepaymentsOfNotesPayable,,,,,134250.000,,,,,,
ResearchAndDevelopmentExpense,14833.000,,,,22038.000,,,,893.000,,
Revenues,52683.000,55651.000,140856.000,86578.000,64223.000,76254.000,32623.000,7958.000,,,
SalesRevenueNet,52683.000,55651.000,140856.000,86578.000,64223.000,76254.000,32623.000,7958.000,,,
SellingAndMarketingExpense,24809.000,34226.000,47337.000,69291.000,35828.000,19917.000,-20289.000,-4675.000,1680.000,484.000,240.000
StockIssuedDuringPeriodValueIssuedForServices,,,,,1137300.000,,,,1800.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,50484444.000,64863964.000,66702249.000,-118618015.000,119286430.000,1564737230.000,1382262.000
