,2011-09-30,2012-03-31,2012-06-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,37427.000,25901.000,28222.000,710647.000,609232.000,622226.000,208325.000,405572.000,277960.000,353690.000,276443.000,416003.000,406367.000,240814.000,215422.000,715595.000,376418.000,237584.000,247302.000
AccountsPayableCurrent,,,,533241.000,431826.000,444820.000,109608.000,288805.000,,,,,,,,,,,
AccountsReceivableNet,,,,3564976.000,3616144.000,1894717.000,,3928348.000,8743041.000,4864293.000,,,,,,,,,
AccountsReceivableNetCurrent,,,,,,,,,,,,5376267.000,7158137.000,4713380.000,,5771978.000,7496205.000,1893187.000,
AccruedLiabilitiesCurrent,,,,177406.000,177406.000,177406.000,98717.000,116767.000,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,5190328.000,5494926.000,5856006.000,6084046.000,6391411.000,6631426.000,6924460.000,7182930.000,7469624.000,7780725.000,8083612.000,8011896.000,8123431.000,8446490.000,8458543.000,8656236.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,1985965.000,2166849.000,2668773.000,2549192.000,2691635.000,2315403.000,2401154.000,2395692.000,2537822.000,2724423.000,2814927.000,523560.000,-650707.000,-175848.000,-2213644.000,-2313698.000
AdditionalPaidInCapitalCommonStock,,17978.000,17978.000,4898429.000,4898429.000,4909572.000,4909572.000,4909572.000,4909572.000,4909572.000,4909572.000,4909572.000,4909572.000,4909572.000,4909572.000,4909572.000,4909572.000,4909572.000,4909572.000
AdvancesOnInventoryPurchases,,,,,,,,,,,2189956.000,2320648.000,600413.000,554518.000,4778733.000,4129267.000,597549.000,430131.000,2717989.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,21705.000,21277.000,21415.000,20781.000,
Assets,28600.000,1203.000,191.000,38277585.000,42515604.000,42387912.000,42161547.000,49186771.000,54871689.000,54555664.000,51785169.000,58556997.000,65073532.000,65995541.000,54951354.000,62209739.000,68067390.000,68588491.000,66731931.000
AssetsCurrent,28600.000,1203.000,191.000,11757176.000,9927773.000,8501370.000,8895229.000,13263708.000,16369949.000,17086922.000,14278225.000,16185707.000,20928093.000,23194093.000,15235106.000,24615608.000,31575572.000,34484809.000,14388711.000
AssetsNoncurrent,,,,11105358.000,17336908.000,18677017.000,18158287.000,21064247.000,24041978.000,23223231.000,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,7100.000,1203.000,191.000,1067667.000,1459236.000,1457582.000,2408520.000,642356.000,1605641.000,5150547.000,3352045.000,255433.000,5820529.000,9584318.000,464046.000,5858518.000,15338348.000,24419304.000,621402.000
CommitmentsAndContingencies,0.000,0.000,,,,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,4750000.000,6750000.000,,127349551.000,127349551.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000
CommonStockSharesOutstanding,4750000.000,6750000.000,,127349551.000,127349551.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000,15918940.000
CommonStockValue,475.000,675.000,675.000,12735.000,12735.000,1592.000,1592.000,1592.000,1592.000,1592.000,1592.000,1592.000,1592.000,1592.000,1592.000,1592.000,1592.000,1592.000,1592.000
ConstructionInProgressGross,,,,266471.000,289324.000,299478.000,305680.000,68835.000,0.000,51657.000,0.000,,,,,,,,
CustomerAdvancesAndDeposits,,,,1682220.000,1532160.000,0.000,0.000,3049405.000,1515783.000,1517651.000,,1775610.000,1781060.000,1784330.000,,,,,
DeferredOfferingCosts,21500.000,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsGross,,,,,,,,,,,509301.000,,,,750978.000,,,,911405.000
DeferredTaxAssetsNet,,,,,,,,,,,0.000,,,,0.000,,,,0.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,1497945.000,,,,2208759.000,,,,2604015.000
DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,,,,,,,,,,,890220.000,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,,,509301.000,,,,750978.000,,,,911405.000
DueToOfficersOrStockholdersCurrent,,,,241042.000,244146.000,253648.000,718261.000,963639.000,1033980.000,1295639.000,1508566.000,1752058.000,2038829.000,2120536.000,154571.000,333800.000,412723.000,448451.000,524686.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,25490.000,26550.000,27879.000,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsNet,,,,156582.000,156555.000,157980.000,,,,,,,,,,,,,
GuaranteeObligationsMaximumExposure,,,,,,,,1963200.000,,,,,,,,,,,
IntangibleAssetsNetExcludingGoodwill,,,,156582.000,156555.000,157980.000,158020.000,157663.000,155479.000,154739.000,153712.000,153250.000,152784.000,152125.000,145183.000,141436.000,141464.000,136409.000,135019.000
InventoryFinishedGoods,,,,1447795.000,280017.000,,,1572051.000,1650507.000,,,1495774.000,445978.000,,,1756464.000,1143021.000,,
InventoryNet,,,,2151000.000,2062248.000,2666499.000,4074166.000,3389128.000,1728983.000,3249323.000,4951273.000,4036283.000,2797198.000,3781529.000,5469102.000,4574446.000,3830396.000,3558694.000,5289608.000
InventoryRawMaterials,,,,197844.000,495778.000,88515.000,84171.000,200574.000,78746.000,73699.000,68780.000,507790.000,109012.000,56359.000,49405.000,542701.000,724872.000,28827.000,24218.000
InventoryWorkInProcess,,,,505361.000,1286453.000,2577984.000,3989995.000,1616503.000,0.000,3175624.000,4882493.000,2032719.000,2242208.000,3725170.000,5419697.000,2275281.000,1962503.000,3529867.000,5265390.000
Liabilities,,,,8134452.000,7993833.000,6452105.000,6514451.000,10114689.000,,,,,,,,,,,
LiabilitiesAndStockholdersEquity,28600.000,1203.000,191.000,38277585.000,42515604.000,42387912.000,42161547.000,49186771.000,54871689.000,54555664.000,51785169.000,58556997.000,65073532.000,65995541.000,54951354.000,62209739.000,68067390.000,68588491.000,66731931.000
LiabilitiesCurrent,37427.000,25901.000,28222.000,8134452.000,7993833.000,6452105.000,6514451.000,10114689.000,8586309.000,8765468.000,6394058.000,8627364.000,8983683.000,8834270.000,431752.000,2831592.000,2465125.000,2277978.000,837547.000
OperatingLeasesFutureMinimumPaymentsDue,,,,12512365.000,,20876962.000,20372746.000,23871686.000,27275931.000,26461905.000,27141306.000,32638651.000,35013935.000,33942719.000,31504549.000,29814366.000,28931993.000,27030698.000,47151297.000
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,1566840.000,,2316611.000,2335655.000,2957851.000,3408747.000,3400612.000,3181613.000,4181267.000,4516249.000,4524572.000,4499605.000,4341481.000,4291547.000,4292906.000,5876664.000
