,2012-06-30,2012-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,37265.000,38841.000,40007.000,41173.000,42740.000,43819.000,44897.000
AdditionalPaidInCapital,,,34200.000,34200.000,34200.000,34200.000,34200.000,34200.000,34200.000
AdditionalPaidInCapitalCommonStock,34200.000,34200.000,,,,,,,
Assets,5053.000,549.000,17000.000,17000.000,17000.000,17000.000,17000.000,17000.000,17000.000
AssetsCurrent,5053.000,549.000,,,,,,,
Cash,5053.000,549.000,,,,,,,
CashAndCashEquivalentsAtCarryingValue,5053.000,549.000,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,3800000.000,3800000.000,3800000.000,3800000.000,3800000.000,3800000.000,3800000.000,3800000.000,3800000.000
CommonStockSharesOutstanding,3800000.000,3800000.000,3800000.000,3800000.000,3800000.000,3800000.000,3800000.000,3800000.000,3800000.000
CommonStockValue,3800.000,3800.000,3800.000,3800.000,3800.000,3800.000,3800.000,3800.000,3800.000
ConvertibleNotesPayable,,,50000.000,50000.000,50000.000,50000.000,,50000.000,50000.000
ConvertibleNotesPayableCurrent,,,,,,,50000.000,,
DueToRelatedPartiesCurrent,200.000,200.000,,,,,,,
LiabilitiesAndStockholdersEquity,5053.000,549.000,17000.000,17000.000,17000.000,17000.000,17000.000,17000.000,17000.000
LiabilitiesCurrent,200.000,200.000,37265.000,88841.000,90007.000,91173.000,42740.000,93819.000,
OperatingLossCarryforwards,,,107000.000,,,,,,116000.000
OperatingLossCarryforwardsValuationAllowance,,,,,,,,115000.000,
PrepaidExpenseCurrent,0.000,0.000,17000.000,17000.000,17000.000,17000.000,17000.000,17000.000,17000.000
RetainedEarningsAccumulatedDeficit,-33147.000,-37651.000,-108265.000,-109841.000,-111007.000,-112173.000,-113740.000,-114819.000,-115897.000
StockholdersEquity,4853.000,349.000,-70265.000,-71841.000,-73007.000,-74173.000,-75740.000,-76819.000,-77897.000
