,2013-12-31,2014-12-31
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,125000.000,
AdjustmentsToAdditionalPaidInCapitalOther,6000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,7048.000,-5548.000
CostOfServicesLicensesAndServices,1900.000,3781.000
CurrentIncomeTaxExpenseBenefit,16178.000,33554.000
DebtInstrumentConvertibleBeneficialConversionFeature,125000.000,31978.000
DebtInstrumentDecreaseForgiveness,,125000.000
EarningsPerShareBasicAndDiluted,-0.020,-0.020
GeneralAndAdministrativeExpense,1778.000,190607.000
GeneralContractorCosts,1020.000,
IncomeLossFromContinuingOperations,-76601.000,-209015.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-107851.000,-233631.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,-16178.000,-33554.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,16399.000,-5279.000
IncreaseDecreaseInAccountsReceivable,,-1200.000
IncreaseDecreaseInPrepaidExpense,-93750.000,93750.000
InterestExpense,-31250.000,-139616.000
NetCashProvidedByUsedInFinancingActivities,67250.000,31978.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,67250.000,31978.000
NetCashProvidedByUsedInOperatingActivities,-60202.000,-37526.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-60202.000,-37526.000
NetIncomeLoss,-107851.000,-223631.000
OperatingExpenses,76601.000,137490.000
OtherOperatingIncomeExpenseNet,-31250.000,-14616.000
OtherSignificantNoncashTransactionValueOfConsiderationGiven1,,-125000.000
PaymentsForRepurchaseOfCommonStock,,8256.000
ProceedsFromIssuanceOfCommonStock,36000.000,
ProceedsFromIssuanceOfDebt,125000.000,
ProceedsFromNotesPayable,31250.000,31978.000
ProfessionalFees,71903.000,23102.000
ProfitLoss,-107851.000,-223631.000
Revenues,,8475.000
SalesRevenueNet,,8475.000
ShareBasedCompensation,,180000.000
ShareBasedGoodsAndNonemployeeServicesTransactionExpense,,180000.000
StockIssuedDuringPeriodSharesIssuedForCash,600000.000,
StockIssuedDuringPeriodValueIssuedForCash,30000.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,8628219.000,9100000.000
