,2012-06-30,2012-09-30
AdvertisingExpense,0.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-6690.000,
EarningsPerShareBasicAndDiluted,0.000,0.000
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,-0.350,
GeneralAndAdministrativeExpense,13670.000,3903.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-13670.000,-3948.000
IncreaseDecreaseInAccountsPayable,630.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-2550.000,
InterestRevenueExpenseNet,,-45.000
NetCashProvidedByUsedInFinancingActivities,8900.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,8900.000,
NetCashProvidedByUsedInOperatingActivities,-15590.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-15590.000,
NetIncomeLoss,-13670.000,-3948.000
OperatingExpenses,13670.000,3903.000
OperatingIncomeLoss,-13670.000,-3903.000
ProceedsFromIssuanceOfCommonStock,8900.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,18000000.000,18000000.000
