,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-07-31,2014-10-31,2015-01-31,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AccountsPayableCurrent,50800000.000,60400000.000,40600000.000,49200000.000,40800000.000,57000000.000,53800000.000,48200000.000,37400000.000,53200000.000,62400000.000,66100000.000,75000000.000,116800000.000,80800000.000,76600000.000,74500000.000,105100000.000
AccountsReceivableGrossCurrent,324800000.000,357500000.000,368900000.000,287400000.000,325400000.000,324100000.000,369400000.000,272400000.000,283700000.000,299700000.000,249300000.000,294100000.000,340900000.000,363000000.000,314300000.000,318800000.000,362000000.000,408900000.000
AccountsReceivableNetCurrent,366500000.000,391200000.000,407200000.000,320800000.000,364500000.000,364100000.000,404200000.000,308200000.000,322000000.000,336500000.000,275400000.000,326800000.000,371700000.000,391900000.000,349900000.000,356600000.000,401200000.000,446600000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,26300000.000,23500000.000,27200000.000,16000000.000,29800000.000,21800000.000,26000000.000,16500000.000,21600000.000,26400000.000,14700000.000,17900000.000,23100000.000,26900000.000,17200000.000,19900000.000,24900000.000,24400000.000
AccruedIncomeTaxesCurrent,35300000.000,49200000.000,28700000.000,34300000.000,30000000.000,15300000.000,19800000.000,19600000.000,35900000.000,47800000.000,37100000.000,33600000.000,41800000.000,40700000.000,49100000.000,48600000.000,41100000.000,34000000.000
AccruedLiabilitiesCurrent,389300000.000,388900000.000,366400000.000,359200000.000,370700000.000,386100000.000,406300000.000,355500000.000,322500000.000,347900000.000,306000000.000,398600000.000,355200000.000,432700000.000,371800000.000,428100000.000,403000000.000,478000000.000
AccruedProfessionalFeesCurrent,10400000.000,10000000.000,7200000.000,9100000.000,9300000.000,7600000.000,8100000.000,9400000.000,8000000.000,8700000.000,7600000.000,7000000.000,12500000.000,8500000.000,10200000.000,11400000.000,12900000.000,38600000.000
AccruedRentCurrentAndNoncurrent,,,9500000.000,,,,16900000.000,,,,,,,22600000.000,,,,26300000.000
AccruedRoyaltiesCurrent,36800000.000,39700000.000,44100000.000,28800000.000,38100000.000,41000000.000,47000000.000,37800000.000,39900000.000,50800000.000,48900000.000,51800000.000,54200000.000,55500000.000,46200000.000,38200000.000,41100000.000,44900000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,166000000.000,,,,192500000.000,,,,,,,230200000.000,,,,261900000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,,,,,,,,,,16100000.000,,,,16000000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,62300000.000,124400000.000,90000000.000,69700000.000,66700000.000,68800000.000,48700000.000,15400000.000,-66600000.000,-229200000.000,-304600000.000,-302200000.000,-311400000.000,-193000000.000,-228700000.000,-259000000.000,-259000000.000,-278200000.000
AdditionalPaidInCapital,1237000000.000,1242400000.000,1247600000.000,1250300000.000,1253400000.000,1257500000.000,1276300000.000,1280300000.000,1243400000.000,1247300000.000,1210400000.000,1190400000.000,1198600000.000,1175700000.000,1222500000.000,1233400000.000,1234500000.000,1215200000.000
AllowanceForDoubtfulAccountsReceivable,16600000.000,16100000.000,,,,,,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,16600000.000,16100000.000,16000000.000,17200000.000,16200000.000,17300000.000,18200000.000,17500000.000,14000000.000,12800000.000,12500000.000,12000000.000,12700000.000,13500000.000,13800000.000,12900000.000,15100000.000,15400000.000
AssetRetirementObligation,,,7700000.000,,,,9000000.000,,,,,,,9400000.000,,,,8500000.000
AssetRetirementObligationCurrent,8700000.000,8100000.000,7700000.000,7800000.000,8400000.000,8600000.000,1700000.000,1300000.000,1400000.000,1400000.000,2900000.000,2900000.000,2600000.000,2300000.000,900000.000,900000.000,700000.000,1700000.000
Assets,6411300000.000,6507800000.000,6591100000.000,6515200000.000,6487500000.000,6688800000.000,6778100000.000,6590800000.000,6189300000.000,6107600000.000,6011000000.000,6647600000.000,6691700000.000,7006000000.000,6822300000.000,6566500000.000,6699300000.000,6592500000.000
AssetsCurrent,749700000.000,914300000.000,1026800000.000,998400000.000,974800000.000,1011700000.000,1182300000.000,1081200000.000,847400000.000,1026800000.000,1126700000.000,1061200000.000,1168000000.000,1376000000.000,1147100000.000,940900000.000,1108800000.000,1001200000.000
AssetsFairValueDisclosure,,,,,,,209500000.000,171300000.000,,20000000.000,135100000.000,,,80000000.000,,,,
AssetsFairValueDisclosureRecurring,17100000.000,,,,,,,,,,,,,,,,,
BusinessCombinationContingentConsiderationArrangementsRangeOfOutcomesValueHigh,,,,,,,,24700000.000,24700000.000,24700000.000,10000000.000,10000000.000,10000000.000,,,,,
BusinessCombinationContingentConsiderationArrangementsRangeOfOutcomesValueLow,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,,,,,
BusinessCombinationContingentConsiderationLiability,,,,,,,,12400000.000,1600000.000,0.000,600000.000,600000.000,600000.000,1700000.000,,,,
CapitalLeaseObligations,,,2800000.000,,,,3000000.000,,,,,,,700000.000,,8300000.000,9800000.000,1800000.000
CapitalLeaseObligationsCurrent,,,1900000.000,,,,4600000.000,,,,,,,3500000.000,,,,2600000.000
CapitalLeaseObligationsNoncurrent,,,5200000.000,,,,3700000.000,,,,,,,2300000.000,,,,6400000.000
CapitalLeasesFutureMinimumPaymentsDue,,,7700000.000,,,,8800000.000,,,,,,,6000000.000,,,,10100000.000
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,2100000.000,,,,4800000.000,,,,,,,3700000.000,,,,3000000.000
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,,,,,,,,,,,4400000.000
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,400000.000,,,,400000.000,,,,,,,100000.000,,,,600000.000
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,1300000.000,,,,1400000.000,,,,,,,600000.000,,,,700000.000
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,3900000.000,,,,2200000.000,,,,,,,1600000.000,,,,1400000.000
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,600000.000,,,,500000.000,,,,,,,200000.000,,,,1100000.000
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,7100000.000,,,,8300000.000,,,,,,,5800000.000,,,,9000000.000
Cash,,,421900000.000,,,,365800000.000,,,,,,,625700000.000,,,,305800000.000
CashAndCashEquivalentsAtCarryingValue,238500000.000,362900000.000,421900000.000,481000000.000,395900000.000,410000000.000,575300000.000,575800000.000,328600000.000,485800000.000,613200000.000,499000000.000,521900000.000,705700000.000,511200000.000,297200000.000,412000000.000,305800000.000
CashAndCashEquivalentsFairValueDisclosure,17100000.000,,,,,,209500000.000,171300000.000,,20000000.000,135100000.000,,,80000000.000,,,,
CashEquivalentsAtCarryingValue,,,,,,,209500000.000,,,,,,,80000000.000,,,,
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockSharesIssued,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
CommonStockSharesOutstanding,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
DebtInstrumentCarryingAmount,5385200000.000,5366400000.000,5340700000.000,5358200000.000,5371000000.000,5427900000.000,5408700000.000,5385600000.000,5271900000.000,5189700000.000,5319400000.000,5812500000.000,5792200000.000,5826500000.000,5745900000.000,5723300000.000,5702500000.000,5748200000.000
DebtInstrumentUnamortizedDiscount,18100000.000,17300000.000,16600000.000,15900000.000,15200000.000,38900000.000,37400000.000,36400000.000,35000000.000,33500000.000,,,,,,,,
DebtInstrumentUnamortizedDiscountPremiumNet,,,,,,,,,,,14800000.000,18700000.000,17600000.000,,15100000.000,13900000.000,12700000.000,
DeferredFinanceCostsNet,153500000.000,147300000.000,141100000.000,146000000.000,139400000.000,130100000.000,125000000.000,121600000.000,116400000.000,111100000.000,98300000.000,110000000.000,,100200000.000,,,,78900000.000
DeferredFinanceCostsNoncurrentNet,153500000.000,147300000.000,141100000.000,146000000.000,139400000.000,130100000.000,125000000.000,121600000.000,116400000.000,111100000.000,,,,,,,,
DeferredIncomeTaxLiabilities,,,339200000.000,,,,315600000.000,,,,,,,307100000.000,,,,285700000.000
DeferredRentCreditCurrent,9800000.000,9900000.000,9500000.000,12700000.000,12700000.000,13200000.000,16900000.000,17500000.000,21000000.000,21700000.000,3100000.000,3300000.000,2800000.000,2900000.000,3300000.000,3300000.000,2800000.000,3600000.000
DeferredRevenueCurrent,673200000.000,822500000.000,927700000.000,832800000.000,721600000.000,866800000.000,975300000.000,913600000.000,766400000.000,851400000.000,895300000.000,777500000.000,902300000.000,936700000.000,936900000.000,835400000.000,990900000.000,1016500000.000
DeferredTaxAssetsCapitalLossCarryforwards,,,50700000.000,,,,48600000.000,,,,,,,38500000.000,,,,32200000.000
DeferredTaxAssetsDeferredIncome,,,,,,,,,,,,,,15300000.000,,,,17800000.000
DeferredTaxAssetsGross,,,823700000.000,,,,803100000.000,,,,,,,766500000.000,,,,802500000.000
DeferredTaxAssetsLiabilitiesNet,,,-109400000.000,,,135300000.000,-77700000.000,96400000.000,87900000.000,75800000.000,98900000.000,103900000.000,102900000.000,,113400000.000,107700000.000,106800000.000,
DeferredTaxAssetsLiabilitiesNetCurrent,,11900000.000,,,,,,,,,,,,,,,,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,89900000.000,,,,,,,,,,,,,,,,
DeferredTaxAssetsNet,,,229800000.000,,,,237900000.000,,,,,,,297700000.000,,,,301300000.000
DeferredTaxAssetsNetCurrent,11700000.000,,38100000.000,38100000.000,38300000.000,39200000.000,27500000.000,28200000.000,29000000.000,30600000.000,30500000.000,38900000.000,40300000.000,43100000.000,43400000.000,42400000.000,41300000.000,36300000.000
DeferredTaxAssetsNetNoncurrent,69700000.000,,87800000.000,83800000.000,84000000.000,96100000.000,88600000.000,68200000.000,58900000.000,45200000.000,68400000.000,65000000.000,62600000.000,76100000.000,70000000.000,65300000.000,65500000.000,71800000.000
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,66700000.000,,,,35800000.000,,,,,,,83900000.000,,,,165700000.000
DeferredTaxAssetsOperatingLossCarryforwardsForeign,,,292700000.000,,,,261200000.000,,,,,,,139900000.000,,,,128000000.000
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,17300000.000,,,,11700000.000,,,,,,,14300000.000,,,,22900000.000
DeferredTaxAssetsOther,,,32100000.000,,,,42200000.000,,,,,,,73500000.000,,,,52000000.000
DeferredTaxAssetsTaxCreditCarryforwards,,,32900000.000,,,,23400000.000,,,,,,,46600000.000,,,,40000000.000
DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,,,14500000.000,,,,2000000.000,,,,,,,600000.000,,,,14000000.000
DeferredTaxAssetsTaxCreditCarryforwardsForeign,,,800000.000,,,,900000.000,,,,,,,900000.000,,,,900000.000
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsSeverancePayments,,,1100000.000,,,,1400000.000,,,,,,,1800000.000,,,,1500000.000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,28800000.000,,,,35400000.000,,,,,,,38400000.000,,,,34500000.000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,2400000.000,,,,6600000.000,,,,,,,4300000.000,,,,3300000.000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsRestructuringCharges,,,2800000.000,,,,10400000.000,,,,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,593900000.000,,,,565200000.000,,,,,,,468800000.000,,,,501200000.000
DeferredTaxLiabilities,,,,,,,,,,,,,,9400000.000,,,,-15600000.000
DeferredTaxLiabilitiesCurrent,,51400000.000,4300000.000,4200000.000,3900000.000,3800000.000,1300000.000,1300000.000,1700000.000,1600000.000,600000.000,1400000.000,700000.000,1300000.000,1400000.000,1300000.000,1400000.000,1000000.000
DeferredTaxLiabilitiesDeferredExpenseCapitalizedInterest,,,,,,,,,,,,,,19800000.000,,,,13300000.000
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsGoodwill,,,26600000.000,,,,5200000.000,,,,,,,68300000.000,,,,74200000.000
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,311500000.000,,,,309900000.000,,,,,,,218400000.000,,,,187200000.000
DeferredTaxLiabilitiesNoncurrent,,153000000.000,231000000.000,225500000.000,220700000.000,234400000.000,192500000.000,179300000.000,177400000.000,158800000.000,109900000.000,167300000.000,161400000.000,127300000.000,132400000.000,121700000.000,114100000.000,91500000.000
DeferredTaxLiabilitiesPrepaidExpenses,,,1100000.000,,,,500000.000,,,,,,,600000.000,,,,600000.000
DefinedBenefitPlanAccumulatedBenefitObligation,,,90300000.000,,,,101700000.000,,,,,,,101500000.000,,,,106100000.000
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeLossAfterTax,,,8900000.000,,,,7400000.000,,,,,,,,,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesBeforeTax,,,6400000.000,,,,8500000.000,,,,,,,-19700000.000,,,,-19100000.000
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetPriorServiceCostCreditBeforeTax,,,1600000.000,,,,1400000.000,,,,,,,400000.000,,,,300000.000
DefinedBenefitPlanAmountsRecognizedInBalanceSheet,,,-32500000.000,,,,32400000.000,,,,,,,-38300000.000,,,,-38600000.000
DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent,,,,,,,1500000.000,,,,,,,200000.000,,,,100000.000
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate,,,0.041,,,,0.039,,,,,,,0.029,,,,0.022
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationRateOfCompensationIncrease,,,0.038,,,,0.029,,,,,,,0.025,,,,0.024
DefinedBenefitPlanBenefitObligation,,,92700000.000,,,,106600000.000,,,,,,,106800000.000,,,,112300000.000
DefinedBenefitPlanEstimatedFutureEmployerContributionsInNextFiscalYear,,,3300000.000,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter,,,10900000.000,,,,14600000.000,,,,,,,14700000.000,,,,13400000.000
DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths,,,1600000.000,,,,2100000.000,,,,,,,2200000.000,,,,5200000.000
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive,,,2200000.000,,,,2300000.000,,,,,,,2300000.000,,,,2200000.000
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour,,,1600000.000,,,,2400000.000,,,,,,,2400000.000,,,,2000000.000
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree,,,1600000.000,,,,2300000.000,,,,,,,2200000.000,,,,2100000.000
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearTwo,,,1500000.000,,,,2000000.000,,,,,,,2500000.000,,,,1900000.000
DefinedBenefitPlanFairValueOfPlanAssets,,,60200000.000,,,,74200000.000,,,,,,,68500000.000,,,,73700000.000
DefinedBenefitPlanFundedStatusOfPlan,,,-32500000.000,,,,-32400000.000,,,,,,,-38300000.000,,,,-38600000.000
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateAccumulatedBenefitObligation,,,,,,,100100000.000,,,,,,,101100000.000,,,,106000000.000
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets,,,,,,,71200000.000,,,,,,,68000000.000,,,,73400000.000
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateProjectedBenefitObligation,,,,,,,105000000.000,,,,,,,106500000.000,,,,112100000.000
DerivativeLiabilities,,,,,14500000.000,14400000.000,16100000.000,13700000.000,17700000.000,21500000.000,19800000.000,19800000.000,18000000.000,15400000.000,13000000.000,10300000.000,,4600000.000
EmployeeRelatedLiabilitiesCurrent,150800000.000,139900000.000,159400000.000,135600000.000,144200000.000,149900000.000,170200000.000,151500000.000,138700000.000,134500000.000,123000000.000,158000000.000,138500000.000,165900000.000,142400000.000,152500000.000,157600000.000,185700000.000
FairValueLiabilitiesMeasuredOnRecurringBasisObligations,,,13200000.000,12000000.000,12000000.000,11300000.000,12400000.000,12400000.000,1600000.000,,600000.000,600000.000,600000.000,1700000.000,9100000.000,18600000.000,,25500000.000
