,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AssetRetirementObligationAccretionExpense,32000.000,,,
AssetRetirementObligationRevisionOfEstimate,48000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,0.000,,,
GeneralAndAdministrativeExpense,317000.000,197000.000,439000.000,702000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,73000.000,,,
IncreaseDecreaseInAccountsReceivable,-148000.000,,,
IncreaseDecreaseInDueToAffiliatesCurrent,87000.000,,,
IncreaseDecreaseInInventories,355000.000,,,
InterestExpense,481000.000,615000.000,357000.000,475000.000
InterestPaid,0.000,,,
LeaseOperatingExpense,665000.000,1503000.000,1465000.000,
NetCashProvidedByUsedInFinancingActivities,0.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,0.000,,,
NetCashProvidedByUsedInInvestingActivities,1000.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,1000.000,,,
NetCashProvidedByUsedInOperatingActivities,-1000.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1000.000,,,
NetIncomeLoss,-343000.000,-2341000.000,-858000.000,5430000.000
OilAndGasSalesRevenue,1609000.000,1687000.000,2019000.000,
OperatingExpenses,1471000.000,3413000.000,2520000.000,
OperatingIncomeLoss,138000.000,-1726000.000,-501000.000,434000.000
PaymentsToAcquireProductiveAssets,-1000.000,,,
ResultsOfOperationsDepreciationDepletionAmortizationAndAccretion,358000.000,,,
Revenues,1609000.000,1687000.000,2019000.000,
SalesRevenueNet,1609000.000,1687000.000,2019000.000,
