,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AccountsPayable,,9569.000,,,,,,,,,
AccountsPayableCurrent,11085.000,,,,,,,,,,
AccountsPayableCurrentAndNoncurrent,,,5069.000,1189.000,1189.000,1189.000,,29943.000,29145.000,31884.000,26298.000
AccountsPayableRelatedPartiesCurrent,479.000,,,,,,,,,,
AccountsReceivableNet,12550.000,27551.000,18794.000,9364.000,,,,,,,
AccruedIncomeTaxes,,,,,790.000,790.000,,,,,
AccruedLiabilitiesCurrent,,,,,,,15530.000,12069.000,12070.000,12070.000,27070.000
AccumulatedAmortizationDeferredFinanceCosts,,,,,-2292.000,-3542.000,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,-2565.000,,-3309.000,-3309.000,,,,,
AdditionalPaidInCapital,73219.000,73219.000,73209.000,73209.000,19877.000,36228.000,157441221.000,157459206.000,58365373.000,58549741.000,10593038.000
AllowanceForDoubtfulAccountsReceivable,,,,,0.000,,,,,,
Assets,238032.000,293186.000,339545.000,310792.000,324522.000,339801.000,157506500.000,157529523.000,58055640.000,58060295.000,10167625.000
AssetsCurrent,45055.000,89067.000,118166.000,93020.000,75932.000,67789.000,6500.000,29523.000,14417.000,12503.000,63249.000
Cash,4625.000,24468.000,16913.000,24467.000,23675.000,21791.000,,,1917.000,3.000,23240.000
CashAndCashEquivalentsAtCarryingValue,,,,,,,,0.000,,,
CommitmentsAndContingencies,,,,,,,,,0.000,0.000,0.000
CommonStockParOrStatedValuePerShare,,,,,,,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,,,,,,,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000
CommonStockSharesIssued,,,,,,,52982199.000,53020173.000,53477673.000,53709673.000,53724673.000
CommonStockSharesOutstanding,,,,,,,52982199.000,53020173.000,53477673.000,53709673.000,53724673.000
CommonStockValueOutstanding,9990.000,9990.000,10000.000,10000.000,80000.000,80000.000,52982.000,53020.000,53478.000,53710.000,53725.000
ConvertibleNotesPayable,,,,,17918.000,,,,0.000,,
DeferredTaxAssetsNet,,,,,,,,,68249.000,78436.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,,,,,,,,-68249.000,-78436.000,
DepositLiabilitiesAccruedInterest,,,,,1104.000,2815.000,,,,,
DerivativeLiabilities,,,,,51898.000,108302.000,,,,,
DueFromRelatedPartiesCurrent,,,,,,,6500.000,11500.000,12500.000,12500.000,12500.000
DueToRelatedPartiesCurrent,,,,,,,,,,69000.000,62000.000
Goodwill,,,,,,,,,30000.000,30000.000,
IntangibleAssetsCurrent,,,,,25000.000,25000.000,,,,,
InterestPayable,,14977.000,,,,,,,,,
InterestPayableCurrent,13477.000,,,,,,,,,,
InterestReceivable,,,,,,,,,,2542.000,4126.000
Liabilities,127921.000,166905.000,,,,,29521.000,88430.000,179633.000,,
LiabilitiesAndStockholdersEquity,238032.000,293186.000,339515.000,310792.000,324522.000,339801.000,157506500.000,157529523.000,58055640.000,58060295.000,10167625.000
LiabilitiesCurrent,127921.000,166905.000,213431.000,203701.000,274021.000,335204.000,29521.000,88430.000,303633.000,362805.000,736791.000
LoansReceivableNet,,,,,,,,,40250.000,45250.000,45250.000
NotesPayable,0.000,0.000,,,,,,,,,
NotesPayableCurrent,75000.000,75000.000,,,,,,,,,
NotesPayableRelatedPartiesClassifiedCurrent,,,108000.000,,,,,,,,
NotesPayableRelatedPartiesCurrentAndNoncurrent,,,108000.000,123000.000,,,,,,,
OtherAssets,192977.000,204119.000,650.000,217772.000,248590.000,272012.000,157500000.000,157500000.000,58041223.000,58047792.000,10104376.000
OtherAssetsCurrent,3324.000,3324.000,,650.000,650.000,650.000,,,,,
PrepaidExpenseAndOtherAssets,,,,,,,,,,,27509.000
PrepaidRent,,,,,,1250.000,,,,,
RelatedPartyTransactionDueFromToRelatedParty,,,,,,,,12000.000,42000.000,,
RelatedPartyTransactionDueFromToRelatedPartyCurrent,,,,,,,13991.000,34418.000,46418.000,,
RetainedEarningsAccumulatedDeficit,26902.000,43072.000,,23882.000,-49376.000,-111631.000,-23021.000,-76930.000,-672641.000,-911758.000,-1221726.000
RetainedEarningsAppropriated,,,42875.000,,,,,,,,
StockholdersEquity,110111.000,126281.000,126084.000,107091.000,50501.000,4597.000,157476979.000,157441093.000,57752007.000,57697490.000,9430834.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,110111.000,126281.000,,,,,157476979.000,157441093.000,57876007.000,,
TaxesPayable,,1832.000,,,,,,,,,
TaxesPayableCurrentAndNoncurrent,,,1030.000,,,,,,,,
UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,,,,,,,0.000,-23021.000,,,
