,2013-12-31,2014-03-31,2014-09-30,2014-12-31,2015-03-31,2015-09-30,2015-12-31,2016-03-31,2016-09-30,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-12233.000,,,0.000,,,-538808.000,
EarningsPerShareBasic,0.000,0.000,0.000,-0.000,0.000,,,,,
EarningsPerShareBasicAndDiluted,,,,,,0.000,0.000,-0.040,0.000,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.340,,0.340,,,,,,,
GeneralAndAdministrativeExpense,68.000,,33.000,,0.000,6277.000,28275.000,66896.000,32917.000,87582.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,11040.000
IncomeTaxExpenseBenefit,,,,,0.000,0.000,0.000,0.000,0.000,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,3187.000,,2566.000,,,,,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,-3187.000,,2566.000,,,,,,,
IncomeTaxesPaidNet,,,,,,0.000,,,0.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-4685.000,,,-4200.000,,,-505891.000,
IncreaseDecreaseInDueToRelatedParties,,,,,,,,,0.000,
InterestPaid,,,,,,0.000,,,0.000,
NetCashProvidedByUsedInFinancingActivities,,,,,,10477.000,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,10477.000,,,,
NetCashProvidedByUsedInOperatingActivities,,,-12233.000,,,-10477.000,,,-538808.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-12233.000,,,-10477.000,,,-538808.000,
NetIncomeLoss,-3374.000,-4000.000,-7548.000,,-23493.000,-6277.000,,-1066896.000,-32917.000,11040.000
OperatingExpenses,3374.000,4000.000,7548.000,,23493.000,6277.000,28275.000,1066896.000,32917.000,87582.000
OperatingIncomeLoss,-3374.000,-4000.000,-7548.000,,-23493.000,-6277.000,-28275.000,-1066896.000,-32917.000,
OtherNonoperatingIncome,,,,,,,,,,0.000
ProceedsFromCollectionOfLongtermLoansToRelatedParties,,,,,,10477.000,,,,
ProfessionalFees,3306.000,4000.000,7515.000,,23493.000,,,,,
ProfitLoss,,,,,,-6277.000,-28275.000,,-32917.000,
ResearchAndDevelopmentExpense,,,,,,,,,,0.000
ResearchAndDevelopmentInProcess,,,,,,,,1000000.000,,
Revenues,,,,,0.000,0.000,0.000,0.000,0.000,98622.000
SalesRevenueNet,,,,,0.000,0.000,0.000,0.000,0.000,98622.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,35000020.000,35000020.000,25336234.000,25336234.000,25503453.000
WeightedAverageNumberOfSharesOutstandingBasic,25000000.000,29329638.000,35000020.000,35000020.000,35000020.000,,,,,
