,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,606163000.000,,660826000.000,667679000.000,677701000.000,679102000.000,627203000.000,636610000.000,626600000.000,603439000.000,552785000.000,560215000.000,566744000.000,553636000.000,512647000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-7732000.000,,-6608000.000,-8365000.000,-3866000.000,-4435000.000,-6838000.000,-6136000.000,-6227000.000,-2509000.000,-2448000.000,-1281000.000,-15000.000,21519000.000,24139000.000
AdditionalPaidInCapitalCommonStock,1749040000.000,,2551947000.000,2709311000.000,2710839000.000,3223941000.000,3255023000.000,3257439000.000,3260930000.000,3270246000.000,3266119000.000,3287330000.000,3321475000.000,3324874000.000,3328234000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,13435000.000,14500000.000,16587000.000,16884000.000,16166000.000,17831000.000,16759000.000,15386000.000
Assets,9404875000.000,,9850809000.000,9800203000.000,9775410000.000,9702402000.000,9639179000.000,9577504000.000,9527623000.000,9498007000.000,9465258000.000,9427789000.000,9312709000.000,9319685000.000,9359098000.000
AssetsFairValueDisclosure,,,195200000.000,195200000.000,,,,,,,,,,,
BelowMarketLeaseAccumulatedAmortization,,153600000.000,164900000.000,178200000.000,190000000.000,202700000.000,210600000.000,220300000.000,230900000.000,237200000.000,245300000.000,252800000.000,260700000.000,261700000.000,268200000.000
CapitalLeaseObligationsCurrent,26500000.000,26300000.000,0.000,0.000,0.000,0.000,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,137376000.000,,55696000.000,61830000.000,92758000.000,60595000.000,68184000.000,42735000.000,37983000.000,69528000.000,105822000.000,114272000.000,31143000.000,51402000.000,59883000.000
CommitmentsAndContingencies,0.000,,0.000,0.000,0.000,0.000,,,,0.000,,,,0.000,
CommonStockParOrStatedValuePerShare,0.010,,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,3000000000.000,,3000000000.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000,3000000000.000
CommonStockSharesIssued,182242460.000,,,,,,,,,299138450.000,,,,304343141.000,
CommonStockSharesOutstanding,182242460.000,,229689960.000,245095327.000,245095327.000,296552142.000,298483602.000,298488602.000,298488602.000,299138450.000,299247744.000,301098930.000,304321127.000,304343141.000,304893187.000
CommonStockValue,1822000.000,,2297000.000,2451000.000,2451000.000,2966000.000,2985000.000,2985000.000,2985000.000,2991000.000,2992000.000,3011000.000,3043000.000,3043000.000,3049000.000
DebtAndCapitalLeaseObligations,6477257000.000,5981289000.000,5975891000.000,5947168000.000,5933358000.000,6042997000.000,6059258000.000,5998651000.000,5969336000.000,5974266000.000,6007397000.000,5966533000.000,5857431000.000,5838889000.000,5924834000.000
DebtInstrumentCarryingAmount,6402399000.000,5901978000.000,5900098000.000,5877491000.000,5869119000.000,5979810000.000,6001766000.000,5968897000.000,5953520000.000,5961216000.000,5996476000.000,5966669000.000,5871298000.000,5852745000.000,5944784000.000
DebtInstrumentRepurchasedFaceAmount,,57700000.000,,,,,,,,,,,,,
DebtInstrumentUnamortizedDiscount,15605000.000,13766000.000,11763000.000,10429000.000,9094000.000,3153000.000,2532000.000,1787000.000,4834000.000,4676000.000,4517000.000,8358000.000,9403000.000,,
DebtInstrumentUnamortizedDiscountPremiumNet,,,,,,,,,,,,,,-16092000.000,
DebtInstrumentUnamortizedPremium,90463000.000,93077000.000,87556000.000,80106000.000,73333000.000,66340000.000,60024000.000,54409000.000,45745000.000,40508000.000,36284000.000,32249000.000,27432000.000,,10444000.000
DeferredRentReceivablesNet,,48600000.000,,,,66900000.000,,,,84400000.000,,,,98100000.000,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,27200000.000,24200000.000,22200000.000,19800000.000,19200000.000,16100000.000,14600000.000,14500000.000,14700000.000,17900000.000,14600000.000,11600000.000,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,35500000.000,16400000.000,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,430000000.000,462500000.000,476100000.000,504000000.000,526300000.000,550400000.000,562400000.000,577400000.000,592700000.000,606500000.000,615900000.000,625200000.000,629000000.000,632800000.000,632400000.000
InterestPayableCurrentAndNoncurrent,26900000.000,32200000.000,26600000.000,27000000.000,24000000.000,20400000.000,24600000.000,31700000.000,23300000.000,31100000.000,22500000.000,33600000.000,23800000.000,34100000.000,22900000.000
InvestmentBuildingAndBuildingImprovements,8017597000.000,,8674870000.000,8713114000.000,8751020000.000,8801834000.000,8804004000.000,8870376000.000,8895181000.000,8920903000.000,8934306000.000,8953635000.000,8955726000.000,9002403000.000,9080827000.000
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,9155000.000,,5087000.000,5104000.000,5216000.000,5072000.000,5056000.000,5039000.000,5047000.000,5019000.000,5023000.000,5028000.000,5044000.000,7921000.000,7963000.000
Land,1904533000.000,2055802000.000,1998902000.000,1998895000.000,1998837000.000,2000415000.000,1998924000.000,2008601000.000,2015176000.000,2011947000.000,2012905000.000,2010074000.000,2004264000.000,2006655000.000,2015450000.000
Liabilities,7256398000.000,,6758187000.000,6736317000.000,6732529000.000,6722099000.000,6686461000.000,6635261000.000,6595936000.000,6577705000.000,6560182000.000,6526748000.000,6424175000.000,6392525000.000,6437481000.000
LiabilitiesAndStockholdersEquity,9404875000.000,,9850809000.000,9800203000.000,9775410000.000,9702402000.000,9639179000.000,9577504000.000,9527623000.000,9498007000.000,9465258000.000,9427789000.000,9312709000.000,9319685000.000,9359098000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2613587000.000,1090126000.000,1734224000.000,1734224000.000,1732649000.000,1060256000.000,1760255000.000,1767255000.000,2178255000.000,1411678000.000,1411678000.000,2011681000.000,3011678000.000,2325453000.000,2725453000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,,652956000.000,,,,877700000.000,,,,312888000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,1213888000.000,1521557000.000,1521557000.000,1521557000.000,1520660000.000,620126000.000,620126000.000,620126000.000,620126000.000,766577000.000,766577000.000,766577000.000,858577000.000,686225000.000,686225000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,1314593000.000,647268000.000,524595000.000,619065000.000,622233000.000,1519476000.000,1519476000.000,1519476000.000,1519476000.000,620126000.000,620126000.000,620126000.000,620126000.000,888577000.000,976577000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,782154000.000,1335445000.000,1318644000.000,1259653000.000,1258881000.000,869134000.000,349659000.000,646659000.000,369659000.000,1519476000.000,1519476000.000,1519476000.000,1019476000.000,620126000.000,620126000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,419653000.000,980029000.000,728909000.000,727021000.000,726304000.000,1257862000.000,1257862000.000,1257862000.000,1257862000.000,765659000.000,805659000.000,349659000.000,349659000.000,1019476000.000,629476000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,58524000.000,327553000.000,72169000.000,15971000.000,8392000.000,,494388000.000,157519000.000,8142000.000,,872960000.000,699150000.000,11782000.000,,306927000.000
MarketableSecurities,22962000.000,,25414000.000,21647000.000,21225000.000,20315000.000,20028000.000,20034000.000,24589000.000,23001000.000,23166000.000,28752000.000,26580000.000,25573000.000,24730000.000
MinorityInterestInOperatingPartnerships,520404000.000,,750842000.000,591989000.000,587033000.000,76593000.000,57420000.000,57149000.000,56796000.000,50519000.000,51858000.000,34999000.000,4379000.000,4276000.000,648000.000
OperatingLeasesFutureMinimumPaymentsDue,,,,,,,124939000.000,122180000.000,120556000.000,112565000.000,111194000.000,116527000.000,114445000.000,112677000.000,110889000.000
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,8100000.000,,7200000.000,7100000.000,6500000.000,6400000.000,6352000.000,6227000.000,6258000.000,5241000.000,5242000.000,5883000.000,5936000.000,6942000.000,6942000.000
OperatingLeasesFutureMinimumPaymentsDueInFourYears,8300000.000,,7600000.000,7500000.000,6900000.000,6500000.000,6497000.000,6371000.000,6403000.000,6051000.000,6056000.000,6695000.000,6750000.000,6761000.000,6761000.000
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,8700000.000,,7600000.000,7500000.000,7000000.000,6900000.000,6881000.000,6756000.000,6788000.000,6201000.000,6208000.000,6846000.000,6902000.000,6755000.000,6755000.000
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,8800000.000,,8000000.000,7900000.000,7400000.000,7000000.000,6986000.000,6861000.000,6899000.000,6618000.000,6625000.000,7281000.000,7336000.000,6907000.000,6919000.000
OperatingLeasesFutureMinimumPaymentsDueThereafter,98800000.000,,94500000.000,88300000.000,98300000.000,92800000.000,92764000.000,92554000.000,92738000.000,81709000.000,81710000.000,85476000.000,85745000.000,77972000.000,77972000.000
