,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,8000000.000,,,,,,,,,
AllocatedShareBasedCompensationExpense,13000000.000,6000000.000,6000000.000,7000000.000,30000000.000,92000000.000,21000000.000,19000000.000,18000000.000,-26000000.000,-26000000.000,125000000.000,25000000.000,34000000.000
AmortizationOfIntangibleAssets,,,,,,,,,,,,,74000000.000,71000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,1000000.000,,1000000.000,,1000000.000,2000000.000,1000000.000,-3000000.000,4000000.000,3000000.000,2000000.000,-8000000.000,,
AssetImpairmentCharges,,,,,,,,,15000000.000,0.000,0.000,0.000,0.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-159000000.000,,,,-19000000.000,,,,83000000.000,,,,,
CommonStockDividendsPerShareDeclared,,,,,,,0.070,,0.070,0.070,0.070,0.630,0.150,0.150
ComprehensiveIncomeNetOfTax,151000000.000,259000000.000,-29000000.000,-66000000.000,-90000000.000,356000000.000,159000000.000,823000000.000,319000000.000,187000000.000,187000000.000,-562000000.000,94000000.000,217000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-1000000.000,3000000.000,8000000.000,4000000.000,0.000,6000000.000,4000000.000,2000000.000,-1000000.000,5000000.000,6000000.000,5000000.000,0.000,2000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,150000000.000,262000000.000,-21000000.000,-62000000.000,-90000000.000,362000000.000,163000000.000,825000000.000,318000000.000,192000000.000,193000000.000,-557000000.000,94000000.000,219000000.000
CostOfReimbursableExpense,827000000.000,920000000.000,906000000.000,1038000000.000,950000000.000,1061000000.000,1063000000.000,1056000000.000,1071000000.000,1166000000.000,1105000000.000,1104000000.000,1395000000.000,1436000000.000
CostsAndExpenses,2025000000.000,2232000000.000,2199000000.000,2373000000.000,2254000000.000,2492000000.000,2396000000.000,2365000000.000,2341000000.000,2500000000.000,2449000000.000,2521000000.000,1884000000.000,1981000000.000
CurrentForeignTaxExpenseBenefit,,,,,6000000.000,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,-52000000.000,,,,40000000.000,,,,-32000000.000,,,,-51000000.000,
DefinedBenefitPlanNetPeriodicBenefitCost,,,,,,,,,1000000.000,2000000.000,1000000.000,,,
DepreciationAndAmortization,153000000.000,158000000.000,159000000.000,158000000.000,175000000.000,173000000.000,171000000.000,173000000.000,169000000.000,171000000.000,169000000.000,177000000.000,89000000.000,87000000.000
DepreciationNonproduction,77000000.000,79000000.000,79000000.000,78000000.000,83000000.000,89000000.000,88000000.000,91000000.000,87000000.000,90000000.000,86000000.000,95000000.000,,
