,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,363310.000,332858.000,327739.000,332182.000,334857.000,340666.000,305804.000,326556.000
AccountsReceivableNetCurrent,100643.000,96757.000,,,,,,
AccruedLiabilitiesCurrent,2185235.000,2244545.000,2353997.000,2510424.000,2577680.000,2705340.000,2737056.000,2891401.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1048656.000,1090288.000,1144493.000,1152074.000,1118348.000,1114023.000,1069960.000,1078350.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-92893.000,37832.000,200882.000,167594.000,313937.000,329398.000,524801.000,486599.000
AdditionalPaidInCapital,12762875.000,12762875.000,12762875.000,12762875.000,12762875.000,12762875.000,12762875.000,12762875.000
AllowanceForDoubtfulAccountsReceivable,100349.000,96476.000,201191.000,190639.000,185058.000,184343.000,177087.000,178440.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,190639.000,,,,
Assets,2250782.000,2077682.000,4320.000,17748.000,10646.000,26063.000,6918.000,33771.000
AssetsCurrent,306579.000,290558.000,4320.000,17748.000,10646.000,26063.000,6918.000,33771.000
CashAndCashEquivalentsAtCarryingValue,23712.000,18611.000,4320.000,17748.000,10646.000,26063.000,6918.000,33771.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,,,,,,,5431.000,5431.000
CommonStockSharesAuthorized,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000
CommonStockSharesIssued,63968798.000,63968798.000,63968798.000,63968798.000,63968798.000,63968798.000,63968798.000,63968798.000
CommonStockSharesOutstanding,63968798.000,63968798.000,63968798.000,63968798.000,63968798.000,63968798.000,63968798.000,63968798.000
CommonStockSharesSubscriptions,-5431.000,-5431.000,-5431.000,-5431.000,-5431.000,-5431.000,,
CommonStockValue,6397.000,6397.000,6397.000,6397.000,6397.000,6397.000,6397.000,6397.000
ConstructionInProgressGross,175069.000,168310.000,0.000,,,,,
DebtDefaultLongtermDebtAmount,,,,,,,3541957.000,3602362.000
DeferredRevenue,164283.000,157941.000,155021.000,156048.000,151480.000,150894.000,144926.000,146062.000
DeferredRevenueCurrent,164283.000,157941.000,155021.000,156048.000,151480.000,150894.000,144926.000,146062.000
DueToRelatedPartiesCurrent,769975.000,740252.000,761066.000,766106.000,743680.000,740803.000,749219.000,763801.000
GoodwillImpairedAccumulatedImpairmentLoss,,,200000.000,,,,,
Liabilities,7435072.000,7325257.000,7382760.000,7608041.000,7565251.000,7711647.000,7579115.000,7848334.000
LiabilitiesAndStockholdersEquity,2250782.000,2077682.000,4320.000,17748.000,10646.000,26063.000,6918.000,33771.000
LiabilitiesCurrent,7435072.000,7325257.000,7382760.000,7608041.000,7565251.000,7711647.000,7579115.000,7848334.000
MinorityInterest,-1675056.000,-1679086.000,-2308363.000,-2364189.000,-2342995.000,-2375630.000,-2330434.000,-2386038.000
OperatingLossCarryforwards,,,18034000.000,18000000.000,18000000.000,18000000.000,18000000.000,19000000.000
PrepaidExpenseAndOtherAssetsCurrent,6691.000,6433.000,,,,,,
PropertyPlantAndEquipmentGross,2817790.000,2709102.000,2659072.000,2842963.000,2759804.000,2749139.000,2638222.000,2658911.000
PropertyPlantAndEquipmentNet,1769134.000,1618814.000,,,,,,
ReceivablesNetCurrent,175533.000,168757.000,,,162000.000,162000.000,155000.000,
RetainedEarningsAccumulatedDeficit,-16180182.000,-16370162.000,-18034800.000,-18157539.000,-18289388.000,-18403193.000,-18530405.000,-18678965.000
ShortTermBorrowings,3952269.000,3849661.000,3784937.000,3843281.000,3757554.000,3773944.000,3642110.000,3720514.000
StockholdersEquity,-3509234.000,-3568489.000,-5070077.000,-5226104.000,-5211610.000,-5309954.000,-5241763.000,-5428525.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-5184290.000,-5247575.000,-7378440.000,-7590293.000,-7554605.000,-7685584.000,-7572197.000,-7814563.000
