,2014-06-30,2014-09-30
Assets,0.000,0.000
AssetsCurrent,0.000,0.000
CashAndCashEquivalentsAtCarryingValue,0.000,0.000
CommonStockParOrStatedValuePerShare,0.000,0.000
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,100.000,100.000
CommonStockSharesAuthorized,1000.000,1000.000
CommonStockSharesIssued,100.000,100.000
CommonStockSharesOutstanding,100.000,100.000
CommonStockValue,100.000,100.000
Liabilities,0.000,0.000
LiabilitiesAndStockholdersEquity,0.000,0.000
LiabilitiesCurrent,0.000,0.000
RetainedEarningsAccumulatedDeficit,0.000,0.000
StockholdersEquity,0.000,0.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0.000,0.000
