,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayableAndOtherAccruedLiabilities,36079000.000,35588000.000,38921000.000,32809000.000,36961000.000,39198000.000,42867000.000
AccountsReceivableNetCurrent,3551000.000,8171000.000,13372000.000,8159000.000,9877000.000,8408000.000,9418000.000
AccountsReceivableRelatedPartiesCurrent,13740000.000,16603000.000,22141000.000,27036000.000,20618000.000,27239000.000,35306000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,6822000.000,7913000.000,7804000.000,8193000.000,8624000.000,8948000.000,9323000.000
AdditionalPaidInCapitalCommonStock,101858000.000,105528000.000,113867000.000,119999000.000,121423000.000,113299000.000,114311000.000
AllowanceForDoubtfulAccountsReceivable,,,,300000.000,,,
Assets,169416000.000,225552000.000,292884000.000,308154000.000,337448000.000,355689000.000,366148000.000
AssetsCurrent,47051000.000,58893000.000,75843000.000,65340000.000,65230000.000,72605000.000,79973000.000
BusinessCombinationContingentConsiderationArrangementsRangeOfOutcomesValueHigh,,,,15005000.000,17500000.000,,
BusinessCombinationContingentConsiderationLiability,9200000.000,7500000.000,12100000.000,11556000.000,,,
BusinessCombinationContingentConsiderationLiabilityCurrent,,,16831000.000,6128000.000,1672000.000,500000.000,
CapitalLeaseObligationsCurrent,2354000.000,2377000.000,2409000.000,2232000.000,1632000.000,1025000.000,414000.000
CapitalLeaseObligationsNoncurrent,1633000.000,1222000.000,417000.000,,,,
CapitalLeasesFutureMinimumPaymentsDue,4121000.000,3708000.000,2894000.000,2275000.000,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,2275000.000,1662000.000,1039000.000,416000.000
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,2472000.000,2472000.000,2480000.000,,,,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,134000.000,109000.000,68000.000,43000.000,,,
CapitalLeasesFutureMinimumPaymentsRemainderOfFiscalYear,1649000.000,1236000.000,414000.000,,,,
Cash,11305000.000,9893000.000,15209000.000,8372000.000,11774000.000,12117000.000,13193000.000
CashAndCashEquivalentsAtCarryingValue,11305000.000,9893000.000,15209000.000,8372000.000,11774000.000,12117000.000,13193000.000
CashCashEquivalentsAndShortTermInvestments,,13186000.000,18458000.000,11545000.000,11774000.000,12117000.000,13193000.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000
CommonStockSharesIssued,26390000.000,26390000.000,27051000.000,28105000.000,28207000.000,26832000.000,26845000.000
CommonStockSharesOutstanding,26390000.000,26390000.000,27051000.000,28105000.000,27215000.000,26390000.000,26487000.000
CommonStockValue,21000.000,21000.000,21000.000,21000.000,21000.000,21000.000,21000.000
ContractualObligation,,,,183701000.000,,,
ContractualObligationDueAfterFifthYear,,,,1744000.000,,,
ContractualObligationDueInFifthYear,,,,95728000.000,,,
ContractualObligationDueInFourthYear,,,,17450000.000,,,
ContractualObligationDueInNextTwelveMonths,,,,34192000.000,,,
ContractualObligationDueInSecondYear,,,,18470000.000,,,
ContractualObligationDueInThirdYear,,,,16117000.000,,,
CustomerAdvancesCurrent,7428000.000,10393000.000,7040000.000,1835000.000,3014000.000,3723000.000,3623000.000
DebtInstrumentCarryingAmount,40000000.000,59250000.000,107875000.000,106500000.000,,,
