,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,607000.000,,,,739000.000
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,,,167000.000
AllocatedShareBasedCompensationExpense,300000.000,607000.000,699000.000,681000.000,654000.000,739000.000
AmortizationOfDebtDiscountPremium,,,,,,203000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,25224933.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-12502000.000,,,,-6355000.000
ConversionOfStockAmountConverted1,,1212000.000,,,,
Depreciation,,79000.000,,,,52000.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340,,,,0.340
GainLossOnSaleOfPropertyPlantEquipment,,,,,,-5000.000
GeneralAndAdministrativeExpense,2415000.000,2581000.000,2672000.000,2401000.000,2252000.000,2824000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-9822000.000,-13520000.000,-14617000.000,-13505000.000,-13711000.000,-14286000.000
IncomeTaxExpenseBenefit,0.000,0.000,0.000,0.000,0.000,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,1328000.000,,,,-308000.000
IncreaseDecreaseInAccountsReceivable,,137000.000,,,,
IncreaseDecreaseInDeferredRevenue,,-122000.000,,,,-17000.000
IncreaseDecreaseInDueFromEmployeeCurrent,,-25000.000,,,,
IncreaseDecreaseInOtherNoncurrentAssets,,264000.000,,,,37000.000
IncreaseDecreaseInOtherOperatingLiabilities,,-8000.000,,,,3000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,232000.000,,,,170000.000
InterestExpense,,,,,,559000.000
InterestExpenseRelatedParty,328000.000,,,,,
InterestIncomeExpenseNonoperatingNet,4000.000,21000.000,21000.000,21000.000,,
InvestmentIncomeInterest,,,,,,27000.000
MinorityInterestChangeInRedemptionValue,,16981000.000,,,,-29210000.000
NetCashProvidedByUsedInFinancingActivities,,,,,,7500000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,7500000.000
NetCashProvidedByUsedInInvestingActivities,,,,,,-39000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,-39000.000
NetCashProvidedByUsedInOperatingActivities,,-12502000.000,,,,-13816000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-12502000.000,,,,-13816000.000
NetIncomeLoss,-4103000.000,-3852000.000,-4457000.000,-3993000.000,-4050000.000,-4220000.000
NetIncomeLossAttributableToNoncontrollingInterest,-5719000.000,-9668000.000,-10160000.000,-9512000.000,-9661000.000,-10066000.000
OperatingExpenses,9574000.000,13916000.000,14821000.000,13566000.000,13351000.000,13784000.000
OperatingIncomeLoss,-9441000.000,-13540000.000,-14639000.000,-13528000.000,-13313000.000,-13754000.000
OtherNonoperatingIncomeExpense,-1000.000,-1000.000,1000.000,2000.000,-24000.000,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,39000.000
ProceedsFromRepaymentsOfNotesPayable,,,,,,7500000.000
ProfitLoss,-9822000.000,-13520000.000,-14617000.000,-13505000.000,-13711000.000,-14286000.000
ResearchAndDevelopmentExpense,6574000.000,11141000.000,12077000.000,10636000.000,11099000.000,10960000.000
Revenues,133000.000,376000.000,182000.000,38000.000,38000.000,30000.000
SalesRevenueNet,133000.000,376000.000,182000.000,38000.000,38000.000,30000.000
ShareBasedCompensation,,607000.000,,,,739000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,0.000,0.000,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,,,,,4000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,33000.000,,,,823000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,4.570,3.870,3.940,-8.330,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,,,,,6.830
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,6.350,,,,5.810
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,1212000.000,,,,
