,2016-09-30,2016-12-31,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-3.000,,
CostOfGoodsAndServicesSold,31073.000,23922.000,30387.000
CostOfGoodsSold,31073.000,23922.000,30387.000
Depreciation,72.000,72.000,72.000
EarningsPerShareBasicAndDiluted,-0.000,-0.010,-0.000
EffectiveIncomeTaxRateContinuingOperations,0.170,,0.170
GeneralAndAdministrativeExpense,769.000,16110.000,1715.000
GrossProfit,765.000,6684.000,849.000
MarketingAndAdvertisingExpense,,43100.000,
NetCashProvidedByUsedInOperatingActivities,-3.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-3.000,,
NetIncomeLoss,-75.000,-52598.000,-938.000
OperatingExpenses,841.000,59282.000,1787.000
OperatingIncomeLoss,-75.000,-52598.000,-938.000
OtherSalesRevenueNet,31838.000,30606.000,31237.000
Revenues,31838.000,30606.000,31237.000
SalesRevenueNet,31838.000,30606.000,31237.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,4000000.000,5080000.000,5080000.000
