,2017-03-31
AccruedInvestmentIncomeReceivable,523667.000
AccruedLiabilitiesCurrentAndNoncurrent,2487741.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,4414058.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1208657.000
AdditionalPaidInCapital,32587566.000
Assets,152457041.000
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,1657712.000
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,456838.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,66483930.000
AvailableForSaleEquitySecuritiesAccumulatedGrossUnrealizedGainBeforeTax,720339.000
AvailableForSaleEquitySecuritiesAccumulatedGrossUnrealizedLossBeforeTax,89916.000
AvailableForSaleEquitySecuritiesAmortizedCostBasis,11389416.000
AvailableForSaleSecurities,79704643.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,2378051.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,546754.000
AvailableForSaleSecuritiesAmortizedCost,77873346.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,24644271.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,23203290.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,1440981.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,14332542.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,15014148.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,17204823.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,17632613.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,11240936.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,11419931.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,1002040.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,1007504.000
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateAmortizedCost,22703589.000
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue,22610608.000
AvailableForSaleSecuritiesDebtSecurities,67684804.000
AvailableForSaleSecuritiesEquitySecurities,12019839.000
CapitalLeaseObligations,1123759.000
CashAndCashEquivalentsAtCarryingValue,32517702.000
CommonStockParOrStatedValuePerShare,0.010
CommonStockSharesAuthorized,10000000.000
CommonStockSharesIssued,3500000.000
CommonStockSharesOutstanding,3150000.000
CommonStockValue,35000.000
DebtAndCapitalLeaseObligations,5215142.000
DeferredIncomeTaxAssetsNet,526422.000
DeferredPolicyAcquisitionCosts,4335085.000
EmployeeStockOwnershipPlanESOPNumberOfCommittedToBeReleasedShares,1433.000
EmployeeStockOwnershipPlanESOPSharesInESOP,350000.000
IncomeTaxesReceivable,53873.000
InvestmentsAndCash,114422105.000
Liabilities,88816405.000
LiabilitiesAndStockholdersEquity,152457041.000
LiabilityForClaimsAndClaimsAdjustmentExpense,49863933.000
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseNet,40391000.000
OperatingLossCarryforwards,0.000
OtherAssets,1647346.000
OtherLiabilities,6530493.000
PrepaidReinsurancePremiums,243075.000
PropertyPlantAndEquipmentGross,8151134.000
PropertyPlantAndEquipmentNet,3737076.000
RealEstateInvestmentPropertyAccumulatedDepreciation,65259.000
RealEstateInvestmentPropertyNet,2199760.000
ReinsurancePayable,154968.000
ReinsuranceRecoverableForUnpaidClaimsAndClaimsAdjustments,9472625.000
ReinsuranceRecoverablesAllowance,50000.000
ReinsuranceRecoverablesOnUnpaidLossesAllowance,0.000
RetainedEarningsAccumulatedDeficit,33295079.000
StockholdersEquity,63640636.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,63640636.000
TaxCreditCarryforwardAmount,0.000
UnearnedPremiums,24564128.000
