,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableCurrent,4727.000,4942.000,3318.000,3318.000,3316.000,3887.000,4540.000,33066.000,12481.000,11903.000,31402.000,11777.000,11867.000
AccountsReceivableNetCurrent,5159.000,,432.000,3125.000,12390.000,493.000,15932.000,15562.000,8092.000,6409.000,50235.000,80695.000,89227.000
AccruedLiabilitiesCurrent,633289.000,693436.000,781181.000,746757.000,737360.000,686439.000,753178.000,744497.000,783790.000,810331.000,865286.000,883508.000,922102.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1457684.000,1540329.000,1536469.000,1483900.000,1546243.000,1529967.000,1492873.000,1526558.000,1708945.000,1656723.000,1586167.000,1611466.000,1638255.000
AdditionalPaidInCapital,,172308.000,172308.000,172308.000,172308.000,172308.000,172308.000,172308.000,172308.000,172308.000,172308.000,172308.000,172308.000
AdvancesOnInventoryPurchases,724.000,832.000,4065.000,630.000,3440.000,3127.000,4464.000,4486.000,4530.000,4536.000,3.000,4469.000,4517.000
Assets,10813847.000,10911522.000,10464745.000,10313952.000,10384799.000,10551508.000,10675453.000,10685133.000,10835725.000,10352742.000,10104665.000,10533478.000,10641003.000
AssetsCurrent,1973268.000,1989449.000,1606013.000,1583640.000,1613882.000,1868992.000,1904309.000,1885628.000,1974135.000,1969850.000,1861926.000,1055020.000,1069416.000
CashAndCashEquivalentsAtCarryingValue,740912.000,781048.000,507102.000,495492.000,488243.000,956235.000,980190.000,967089.000,964767.000,203921.000,886570.000,51532.000,68244.000
CommonStockNoParValue,,,,,,,,,,0.000,,,
CommonStockSharesAuthorized,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000
CommonStockSharesIssued,120225323.000,120225323.000,120225323.000,120225323.000,120225323.000,120225323.000,120225323.000,120225323.000,120225323.000,120225323.000,120225323.000,120225323.000,120225323.000
CommonStockSharesOutstanding,120225323.000,65756567.000,120225323.000,120225323.000,120225323.000,120225323.000,120225323.000,120225323.000,120225323.000,120225323.000,120225323.000,120225323.000,120225323.000
CommonStockValue,4313614.000,4313614.000,4313614.000,4313614.000,4313614.000,4313614.000,4313614.000,4313614.000,4313614.000,4313614.000,4313614.000,4313614.000,4313614.000
ConstructionInProgressGross,6673699.000,6829329.000,6830965.000,6781274.000,6854861.000,6831894.000,6939754.000,6975885.000,7046150.000,6609918.000,6535811.000,7784711.000,7868283.000
ConstructionPayableCurrentAndNoncurrent,882952.000,894750.000,847555.000,840150.000,849267.000,846063.000,859386.000,863571.000,872136.000,376297.000,369989.000,1605955.000,1623119.000
CustomerDepositsCurrent,185705.000,188186.000,84457.000,86080.000,90117.000,149163.000,175866.000,121035.000,175610.000,165066.000,157971.000,158297.000,160126.000
DeferredRevenueCurrent,119228.000,139284.000,127495.000,123370.000,116957.000,122201.000,124125.000,124730.000,125967.000,126128.000,130575.000,130844.000,132242.000
DeferredTaxAssetsNetCurrent,,,0.000,,,,,,,,,,
DeferredTaxLiabilitiesCurrent,10157.000,10293.000,10287.000,10197.000,10307.000,10269.000,10430.000,10481.000,10585.000,10598.000,10421.000,10442.000,10554.000
DueFromRelatedPartiesCurrent,78394.000,79442.000,82572.000,90331.000,85922.000,0.000,,,,,,,
DueToRelatedPartiesCurrent,1978407.000,1850181.000,1659940.000,1745801.000,1839454.000,2071142.000,2114418.000,2235852.000,3919182.000,2963494.000,3015609.000,2352405.000,2446029.000
IntangibleAssetsNetExcludingGoodwill,801431.000,782215.000,751862.000,715647.000,693446.000,660975.000,641058.000,639596.000,632156.000,628193.000,616382.000,610064.000,611834.000
InventoryNet,1070801.000,1053038.000,939384.000,921606.000,952395.000,816490.000,825077.000,832083.000,845691.000,848525.000,797775.000,809275.000,802661.000
Liabilities,5815899.000,5815374.000,5578801.000,5635305.000,5778652.000,6124658.000,6338417.000,6469717.000,6723015.000,6364288.000,6470111.000,7070276.000,7276662.000
LiabilitiesAndStockholdersEquity,10813847.000,10911522.000,10464745.000,10313952.000,10384799.000,10551508.000,10675453.000,10685133.000,10835725.000,10352742.000,10104665.000,10533478.000,10641003.000
LiabilitiesCurrent,4932947.000,4920624.000,4731246.000,4795155.000,4929385.000,5278595.000,5479031.000,5606146.000,5850879.000,5987991.000,6100122.000,5464321.000,5653543.000
MinorityInterest,1205158.000,1180655.000,1142190.000,1112330.000,1091375.000,1051519.000,1145621.000,1115566.000,953325.000,1034733.000,984522.000,913838.000,955780.000
NotesAndLoansReceivableNetCurrent,0.000,0.000,0.000,,,,,,,,,,
OtherAssets,34494.000,,,,,,,,,,,,
OtherLiabilitiesCurrent,355150.000,366020.000,397240.000,426870.000,461176.000,571099.000,605871.000,637648.000,659865.000,591613.000,441075.000,466278.000,504348.000
PreferredStockParOrStatedValuePerShare,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
PreferredStockSharesAuthorized,500000.000,500000.000,500000.000,500000.000,500000.000,500000.000,500000.000,500000.000,500000.000,500000.000,500000.000,500000.000,500000.000
PreferredStockSharesIssued,,,,,,,,,,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,,,,,,,,,,0.000,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,77278.000,75089.000,72458.000,72456.000,71492.000,92647.000,78646.000,66408.000,151055.000,906459.000,127343.000,109049.000,104767.000
PropertyPlantAndEquipmentNet,1330955.000,1310529.000,1275905.000,1233391.000,1222610.000,1189647.000,1190332.000,1184024.000,1183284.000,1144781.000,1090546.000,1083683.000,1091470.000
RetainedEarningsAccumulatedDeficit,-2315393.000,-2447643.000,-2615522.000,-2740390.000,-2854278.000,-2977443.000,-3124265.000,-3249516.000,-3372367.000,-3525809.000,-3758942.000,-3884909.000,-4052501.000
