,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,3000000.000,,,,0.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,0.000,,,,4000000.000,,,,0.000,,,,0.000,,
ComprehensiveIncomeNetOfTax,,37000000.000,48000000.000,,34000000.000,,,,35000000.000,,,36000000.000,31000000.000,,,38000000.000,37000000.000
CostsAndExpenses,56000000.000,51000000.000,46000000.000,55000000.000,40000000.000,42000000.000,42000000.000,41000000.000,40000000.000,45000000.000,36000000.000,42000000.000,43000000.000,43000000.000,37000000.000,37000000.000,37000000.000
CurrentIncomeTaxExpenseBenefit,,,,,,,,,,,,,,,,,1000000.000
DepreciationDepletionAndAmortization,12000000.000,11000000.000,11000000.000,11000000.000,11000000.000,12000000.000,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000,11000000.000
GeneralAndAdministrativeExpense,,,,,,,,,,,5000000.000,4000000.000,5000000.000,6000000.000,5000000.000,5000000.000,5000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,,,,38000000.000
IncreaseDecreaseInAccountsPayable,,,,,,,10000000.000,,,,12000000.000,,,,16000000.000,,
IncreaseDecreaseInAccountsReceivable,,,,,,,-2000000.000,,,,-1000000.000,,,,-6000000.000,,
IncreaseDecreaseInAccruedLiabilities,,,,,,,,,,,-4000000.000,,,,,,
IncreaseDecreaseInAccruedTaxesPayable,,,,,,,-5000000.000,,,,-10000000.000,,,,-10000000.000,,
IncreaseDecreaseInInterestPayableNet,,,,,,,7000000.000,,,,7000000.000,,,,7000000.000,,
IncreaseDecreaseInNotesReceivableRelatedParties,,,27000000.000,,,,19000000.000,,,,12000000.000,,,,-22000000.000,,
IncreaseDecreaseInOperatingCapital,,,-2000000.000,,,,,,,,,,,,,,
IncreaseDecreaseInOtherCurrentAssets,,,,,,,,,,,-1000000.000,,,,,,
IncreaseDecreaseInOtherCurrentAssetsAndLiabilitiesNet,,,,,,,,,,,,,,,2000000.000,,
IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet,,,,,,,-9000000.000,,,,-8000000.000,,,,0.000,,
IncreaseDecreaseInOtherOperatingCapitalNet,,,,,,,1000000.000,,,,,,,,,,
IncreaseDecreaseInOtherRegulatoryAssets,,,,,,,,,,,0.000,,,,4000000.000,,
IncreaseDecreaseInRegulatoryLiabilities,,,,,,,-3000000.000,,,,1000000.000,,,,,,
InterestExpense,16000000.000,15000000.000,15000000.000,16000000.000,16000000.000,15000000.000,15000000.000,16000000.000,15000000.000,15000000.000,15000000.000,16000000.000,16000000.000,16000000.000,16000000.000,16000000.000,16000000.000
NetCashProvidedByUsedInFinancingActivities,,,-28000000.000,,,,-55000000.000,,,,-59000000.000,,,,-95000000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-28000000.000,,,,-55000000.000,,,,-59000000.000,,,,-95000000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-34000000.000,,,,-21000000.000,,,,-18000000.000,,,,18000000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-34000000.000,,,,-21000000.000,,,,-18000000.000,,,,18000000.000,,
NetCashProvidedByUsedInOperatingActivities,,,62000000.000,,,,80000000.000,,,,77000000.000,,,,77000000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,62000000.000,,,,80000000.000,,,,77000000.000,,,,77000000.000,,
NetIncomeLoss,29000000.000,28000000.000,48000000.000,24000000.000,34000000.000,50000000.000,51000000.000,34000000.000,34000000.000,51000000.000,56000000.000,37000000.000,31000000.000,53000000.000,53000000.000,39000000.000,37000000.000
NonoperatingIncomeExpense,,,,-14000000.000,-15000000.000,,,-16000000.000,-14000000.000,,,-15000000.000,-16000000.000,,-15000000.000,-16000000.000,-15000000.000
OperatingExpenses,,,29000000.000,38000000.000,26000000.000,,,,,,,,,,,,
OperatingIncomeLoss,44000000.000,41000000.000,63000000.000,38000000.000,49000000.000,65000000.000,66000000.000,50000000.000,48000000.000,65000000.000,71000000.000,52000000.000,47000000.000,70000000.000,68000000.000,55000000.000,53000000.000
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax,,9000000.000,0.000,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeReclassificationAdjustmentsNetOfTax,,,,,,,,,,,,1000000.000,0.000,,,1000000.000,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,,0.000,,,,-1000000.000,,,,,,,,0.000
OtherNoncashIncomeExpense,,,-1000000.000,,,,1000000.000,,,,6000000.000,,,,0.000,,
OtherNonoperatingIncomeExpense,1000000.000,1000000.000,,1000000.000,1000000.000,,,0.000,1000000.000,,,1000000.000,0.000,,1000000.000,0.000,1000000.000
PartnersCapitalAccountDistributions,,,,,,,,,,,58000000.000,,,,60000000.000,,
PaymentsForProceedsFromOtherInvestingActivities,,,,,,,-1000000.000,,,,2000000.000,,,,1000000.000,,
PaymentsOfDistributionsToAffiliates,,,37000000.000,,,,54000000.000,,,,58000000.000,,,,60000000.000,,
PaymentsToAcquireProductiveAssets,,,7000000.000,,,,3000000.000,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,,,,,4000000.000,,,,3000000.000,,
ProceedsFromAccountsReceivableSecuritization,,,,38000000.000,,,,,,,,,,,,,
ProceedsFromContributionsFromAffiliates,,,10000000.000,,,,0.000,,,,,,,,,,
ProceedsFromPaymentsForOtherFinancingActivities,,,,,,,,,,,,,,,1000000.000,,
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,,,31000000.000,17000000.000,,14000000.000,16000000.000,15000000.000,16000000.000,9000000.000,9000000.000,9000000.000,10000000.000,,,
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,,,,,,,,,,,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,4000000.000,5000000.000
RepaymentsOfLongTermDebt,,,,,,,,,,,,,,,36000000.000,,
RepaymentsOfLongTermDebtAndCapitalSecurities,,,1000000.000,,,,1000000.000,,,,1000000.000,,,,,,
RevenueFromRelatedParties,,,,1000000.000,1000000.000,,0.000,1000000.000,0.000,1000000.000,,1000000.000,0.000,,,1000000.000,0.000
Revenues,100000000.000,92000000.000,109000000.000,93000000.000,89000000.000,107000000.000,108000000.000,91000000.000,88000000.000,110000000.000,107000000.000,94000000.000,90000000.000,113000000.000,105000000.000,92000000.000,90000000.000
SalesRevenueNet,100000000.000,92000000.000,109000000.000,93000000.000,89000000.000,107000000.000,108000000.000,91000000.000,88000000.000,110000000.000,107000000.000,94000000.000,90000000.000,113000000.000,105000000.000,92000000.000,90000000.000
TaxesExcludingIncomeAndExciseTaxes,6000000.000,6000000.000,6000000.000,6000000.000,3000000.000,5000000.000,5000000.000,5000000.000,4000000.000,5000000.000,5000000.000,6000000.000,4000000.000,5000000.000,5000000.000,5000000.000,4000000.000
