,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,,,,,,800000.000,,,,900000.000,,1100000.000,,,,1000000.000,,,,1300000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,0.000,0.000,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,7111000.000,,,,319000.000,,,,1323000.000,,8665000.000,,,,-16926000.000,,,,-1986000.000
ComprehensiveIncomeNetOfTax,,,3049000.000,2953000.000,3809000.000,6718000.000,8558000.000,5128000.000,9782000.000,16763000.000,6211000.000,4909000.000,6169000.000,4899000.000,7714000.000,9237000.000,4688000.000,5393000.000,7384000.000,10999000.000,6002000.000
ConcentrationRiskPercentage1,,,,,,,,,,,,,,,,,1.000,,,,
DefinedBenefitPlanAmortizationOfGainsLosses,,,490000.000,490000.000,425000.000,468000.000,266000.000,266000.000,255000.000,908000.000,50000.000,48000.000,,,,,,,,,
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit,,,52000.000,52000.000,-53000.000,-261000.000,-32000.000,-32000.000,-33000.000,-113000.000,-32000.000,-32000.000,,,,,,,,,
DefinedBenefitPlanPlanAmendments,,,,,,,,,,,,,50000.000,66000.000,59000.000,55000.000,19000.000,19000.000,18000.000,52000.000,16000.000
DepreciationDepletionAndAmortization,,,4644000.000,,,,5342000.000,,,,5380000.000,,6098000.000,,,,6792000.000,,,,7582000.000
EarningsPerShareBasic,,0.010,0.110,,,,,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,-0.040,,,,,,,,,,,,,,,,,,,,
EarningsPerShareDiluted,,0.010,0.110,,,,,,,,,,,,,,,,,,
EffectiveIncomeTaxRateContinuingOperations,,,,,,,0.386,,,,0.384,,0.384,,,,0.385,,,,0.385
GainOnBusinessInterruptionInsuranceRecovery,,,,,,,,,,,,,,,,,,,,,1170000.000
GrossProfit,73406000.000,80438000.000,85341000.000,79749000.000,90673000.000,96272000.000,100309000.000,91311000.000,103877000.000,105999000.000,97862000.000,94144000.000,102647000.000,100182000.000,111742000.000,116205000.000,104419000.000,104160000.000,113737000.000,121021000.000,109596000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-1018000.000,87000.000,4021000.000,3766000.000,5636000.000,10093000.000,13450000.000,7866000.000,15388000.000,15783000.000,9956000.000,7812000.000,9928000.000,7839000.000,12414000.000,15094000.000,7587000.000,8762000.000,12125000.000,17347000.000,9740000.000
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,,,,,,,,,,,,,10420000.000,8367000.000,13008000.000,15769000.000,8209000.000,9303000.000,12681000.000,17861000.000,10323000.000
IncomeTaxExpenseBenefit,-76000.000,-31000.000,1564000.000,1405000.000,2322000.000,3314000.000,5190000.000,3036000.000,5894000.000,6102000.000,3827000.000,2983000.000,3809000.000,3006000.000,4759000.000,5912000.000,2918000.000,3388000.000,4759000.000,6400000.000,3754000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-4857000.000,,,,-7176000.000,,,,-7858000.000,,-5785000.000,,,,-16380000.000,,,,-6349000.000
IncreaseDecreaseInAccountsReceivable,,,788000.000,,,,-586000.000,,,,-783000.000,,-766000.000,,,,-1096000.000,,,,-798000.000
IncreaseDecreaseInCustomerDeposits,,,3604000.000,,,,-104000.000,,,,5737000.000,,5896000.000,,,,2746000.000,,,,2340000.000
IncreaseDecreaseInInventories,,,1801000.000,,,,665000.000,,,,4481000.000,,209000.000,,,,1304000.000,,,,6238000.000
IncreaseDecreaseInOtherOperatingCapitalNet,,,1934000.000,,,,1454000.000,,,,-1664000.000,,451000.000,,,,3512000.000,,,,-1068000.000
IncreaseDecreaseInRestrictedCash,,,193000.000,,,,1000.000,,,,1000000.000,,-17000.000,,,,,,,,
InterestAndFeeIncomeLoansConsumerInstallmentCreditCard,119000.000,109000.000,76000.000,71000.000,69000.000,77000.000,86000.000,76000.000,78000.000,80000.000,81000.000,71000.000,72000.000,69000.000,71000.000,74000.000,65000.000,54000.000,54000.000,56000.000,45000.000
InterestIncomeExpenseNet,-178000.000,-177000.000,-161000.000,-158000.000,-154000.000,-151000.000,-278000.000,-277000.000,-282000.000,-270000.000,-273000.000,-218000.000,-492000.000,-528000.000,-594000.000,-675000.000,-622000.000,-541000.000,-556000.000,-514000.000,-583000.000
LitigationSettlementAmount,,,,,,,,,,,,,,800000.000,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,-185000.000,,,,-1099000.000,,,,-2016000.000,,789000.000,,,,-3188000.000,,,,-3571000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-185000.000,,,,-1099000.000,,,,-2016000.000,,789000.000,,,,-3188000.000,,,,-3571000.000
NetCashProvidedByUsedInInvestingActivities,,,-3896000.000,,,,-3971000.000,,,,-5109000.000,,-5688000.000,,,,-8975000.000,,,,-4174000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-3896000.000,,,,-3971000.000,,,,-5109000.000,,-5688000.000,,,,-8975000.000,,,,-4174000.000
NetCashProvidedByUsedInOperatingActivities,,,11192000.000,,,,5389000.000,,,,8448000.000,,13564000.000,,,,-4763000.000,,,,5759000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,11192000.000,,,,5389000.000,,,,8448000.000,,13564000.000,,,,-4763000.000,,,,5759000.000
NetIncomeLoss,-942000.000,118000.000,2457000.000,2361000.000,3314000.000,6779000.000,8260000.000,4830000.000,9494000.000,9681000.000,6129000.000,4829000.000,6119000.000,4833000.000,7655000.000,9182000.000,4669000.000,5374000.000,7366000.000,10947000.000,5986000.000
OtherComprehensiveIncomeDefinedBenefitPlansTaxPortionAttributableToParent,,,,,,,182000.000,182000.000,182000.000,,,,,,,,,,,,
OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditBeforeTax,,,,,,,,,-53000.000,,,,,,,,,,,,
OtherComprehensiveIncomeLossAmortizationPensionAndOtherPostretirementBenefitPlansNetPriorServiceCostRecognizedInNetPeriodicBenefitCostBeforeTax,,,,,,,52000.000,52000.000,,,,,,,,,,,,,
OtherComprehensiveIncomeLossNetOfTax,,,,592000.000,495000.000,,298000.000,298000.000,288000.000,7082000.000,82000.000,80000.000,,,,,,,,,
