,2011-01-02,2011-04-03,2011-07-03,2011-10-02,2012-01-01,2012-04-01,2012-07-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2016-01-03,2016-04-03,2016-07-03,2016-10-02,2017-01-01,2017-04-02,2017-07-02
AccountsPayableCurrent,39271000.000,35575000.000,40063000.000,48561000.000,55426000.000,63337000.000,74125000.000,75351000.000,68048000.000,70232000.000,57672000.000,69623000.000,79908000.000,79966000.000,72438000.000,75521000.000,73155000.000,69987000.000,79948000.000,82300000.000,88600000.000,101500000.000,116700000.000,112800000.000,99600000.000,112700000.000,129000000.000
AccountsReceivableNetCurrent,114600000.000,97786000.000,98066000.000,110908000.000,139283000.000,144423000.000,153709000.000,153190000.000,159436000.000,158403000.000,151223000.000,162103000.000,174900000.000,193750000.000,184222000.000,191168000.000,187494000.000,181383000.000,197172000.000,186900000.000,176200000.000,211900000.000,241700000.000,245200000.000,223600000.000,232400000.000,246500000.000
AccruedIncomeTaxesCurrent,,,,,,,,,4420000.000,3475000.000,3068000.000,2291000.000,3313000.000,3634000.000,3163000.000,971000.000,,,,1400000.000,,,,,,,
AccruedLiabilitiesCurrent,94026000.000,74281000.000,81390000.000,101078000.000,104585000.000,93867000.000,96968000.000,80224000.000,71486000.000,65599000.000,70477000.000,63002000.000,97479000.000,87991000.000,90541000.000,85702000.000,84343000.000,82668000.000,97267000.000,86800000.000,82300000.000,169800000.000,158700000.000,166100000.000,133900000.000,148600000.000,139600000.000
AccruedRentCurrent,,,,,,,,,,,,,,,,,,,,2600000.000,,,,2500000.000,,,
AccruedSalesCommissionCurrent,,,3181000.000,2692000.000,3067000.000,2813000.000,2815000.000,2900000.000,3282000.000,2352000.000,2231000.000,2799000.000,3665000.000,3573000.000,3417000.000,4026000.000,,,,3800000.000,,,,4300000.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,148090000.000,,,,257563000.000,,,,303529000.000,,,,303758000.000,,,,393800000.000,,,,382200000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,426000.000,939000.000,1171000.000,786000.000,495000.000,671000.000,255000.000,-743000.000,-557000.000,-564000.000,-421000.000,-48000.000,232000.000,310000.000,-80000.000,-1271000.000,-1748000.000,-3270000.000,-2917000.000,-3100000.000,-3800000.000,-700000.000,-500000.000,-2200000.000,-3400000.000,-3100000.000,-2200000.000
AdditionalPaidInCapital,582667000.000,592683000.000,604638000.000,612517000.000,621792000.000,636016000.000,647139000.000,678905000.000,691198000.000,707852000.000,716587000.000,737896000.000,749838000.000,765740000.000,781900000.000,799210000.000,776524000.000,783575000.000,813880000.000,808100000.000,797100000.000,1324700000.000,1341900000.000,1357800000.000,1382400000.000,1398900000.000,1414900000.000
AllowanceForDoubtfulAccountsReceivableCurrent,2278000.000,1859000.000,2197000.000,2149000.000,2058000.000,1865000.000,1963000.000,1623000.000,1449000.000,1475000.000,1410000.000,1203000.000,3270000.000,3316000.000,3190000.000,22193000.000,23999000.000,24496000.000,31795000.000,26000000.000,23600000.000,30500000.000,36000000.000,41700000.000,58100000.000,45600000.000,43500000.000
Assets,1478540000.000,1442362000.000,1485021000.000,1470473000.000,1891812000.000,1911930000.000,1938692000.000,1934630000.000,1917961000.000,1903548000.000,1894777000.000,1912655000.000,2137102000.000,2107368000.000,2041375000.000,2061096000.000,2053098000.000,2079444000.000,2437783000.000,2450100000.000,2449200000.000,4608800000.000,4364500000.000,4423000000.000,4350000000.000,4360200000.000,4322800000.000
AssetsCurrent,524087000.000,499632000.000,535730000.000,577890000.000,501386000.000,492135000.000,541293000.000,561341000.000,565377000.000,578011000.000,583669000.000,622630000.000,673429000.000,666227000.000,626662000.000,618582000.000,634719000.000,681925000.000,703639000.000,736600000.000,669500000.000,855700000.000,683700000.000,734900000.000,695700000.000,741200000.000,722100000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,,,,,,,,,,,,,,,,175100000.000,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,,,,,,,,,,,,,175100000.000,,13900000.000,12800000.000,14100000.000,0.000
BusinessAcquisitionPreacquisitionContingencyAmountOfSettlement,,,,,,,,,,,,,,,,,,,143000.000,,,3000000.000,3000000.000,,,,
CapitalLeaseObligations,,,,3371000.000,,,,2889000.000,,,,2873000.000,,,,55000.000,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,203419000.000,217297000.000,246246000.000,266631000.000,133470000.000,121404000.000,167053000.000,204335000.000,203283000.000,206921000.000,220945000.000,256433000.000,218118000.000,205194000.000,183346000.000,162182000.000,182954000.000,236321000.000,203974000.000,256400000.000,199700000.000,153100000.000,131800000.000,189500000.000,173900000.000,191200000.000,166400000.000
CommonStockParOrStatedValuePerShare,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200
CommonStockSharesAuthorized,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000
CommonStockSharesIssued,85889000.000,86247000.000,86673000.000,86806000.000,87445000.000,88816000.000,88939000.000,90282000.000,91099000.000,92855000.000,93025000.000,93840000.000,94646000.000,94969000.000,95282000.000,95633000.000,95050000.000,95094000.000,95651000.000,95100000.000,95800000.000,113100000.000,113200000.000,113600000.000,115300000.000,115500000.000,115700000.000
CommonStockSharesOutstanding,85889000.000,86247000.000,86673000.000,86806000.000,87445000.000,88816000.000,88939000.000,90282000.000,91099000.000,92855000.000,93025000.000,93840000.000,94646000.000,94969000.000,95282000.000,95633000.000,95050000.000,95094000.000,95651000.000,95100000.000,95800000.000,113100000.000,113200000.000,113600000.000,115300000.000,115500000.000,115700000.000
CommonStockValue,17178000.000,17249000.000,17335000.000,17361000.000,17489000.000,17763000.000,17788000.000,18056000.000,18220000.000,18571000.000,18605000.000,18768000.000,18929000.000,18994000.000,19056000.000,19126000.000,19010000.000,19019000.000,19130000.000,19000000.000,19200000.000,22600000.000,22600000.000,22700000.000,23000000.000,23000000.000,23100000.000
ConstructionInProgressGross,,,,7027000.000,,,,7325000.000,,,,10921000.000,,,,13593000.000,,,,8600000.000,,,,7600000.000,,,
CustomerDepositsCurrent,,,,,,,,,,,,,,,,,,,,2200000.000,,,,1100000.000,,,
DebtInstrumentAnnualPrincipalPayment,,,,,,,,8100000.000,8100000.000,7300000.000,7300000.000,7300000.000,7300000.000,,,,,,,,,,,,,,
DebtInstrumentInterestRateEffectivePercentage,,,,,,,,,,0.037,0.037,0.037,,,,,,,,,,,,,,,
DebtInstrumentUnusedBorrowingCapacityAmount,,,,,,,,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,50000000.000,300000000.000,300000000.000,300000000.000,,,,,,,,,,,
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible,,,,,,,,,,,,,,,,,,,,,,,44900000.000,,17900000.000,17900000.000,17900000.000
DeferredCompensationLiabilityCurrentAndNoncurrent,,,,1500000.000,1600000.000,1400000.000,1400000.000,1400000.000,1300000.000,1500000.000,1500000.000,1500000.000,1500000.000,1700000.000,1800000.000,1900000.000,1800000.000,2000000.000,2000000.000,2300000.000,2300000.000,1900000.000,2100000.000,1700000.000,1900000.000,1400000.000,1300000.000
DeferredFinanceCostsGross,,,,,,,,,,,,,,,,,,,,,11000000.000,,,,,,
DeferredFinanceCostsNet,,,,,,,,,,,,,,,,,,,,,,,,,,,37000000.000
DeferredIncomeTaxLiabilities,,,,,,,,,,,,,,,,,,,,,,,,179300000.000,,,
DeferredLongTermLiabilityCharges,,,,,,,,,,,,15510000.000,,,,13671000.000,,,,11200000.000,,,,17200000.000,,,
DeferredRevenueCurrent,,,,,,,,,,2385000.000,6598000.000,5077000.000,9099000.000,9135000.000,9602000.000,11430000.000,,,,9700000.000,,,,15100000.000,,,
DeferredTaxAssetsCapitalLossCarryforwards,,,,,,,,,,,,,,,,,,,,,,,,600000.000,,,
DeferredTaxAssetsGross,,,,122566000.000,,,,341072000.000,,,,329234000.000,,,,361260000.000,,,,399700000.000,,,,552900000.000,,,
DeferredTaxAssetsInventory,,,,22041000.000,,,,12109000.000,,,,9264000.000,,,,14501000.000,,,,17500000.000,,,,18800000.000,,,
DeferredTaxAssetsLiabilitiesNet,,,,7856000.000,,,,28292000.000,,,,19111000.000,,,,11459000.000,,,,12000000.000,,,,,,,
DeferredTaxAssetsNetCurrent,12620000.000,14349000.000,14984000.000,43424000.000,43424000.000,43424000.000,43424000.000,20361000.000,20361000.000,20361000.000,20361000.000,15904000.000,25195000.000,24056000.000,24056000.000,27303000.000,27303000.000,27303000.000,27443000.000,26200000.000,26200000.000,26200000.000,26200000.000,,,,
DeferredTaxAssetsNetNoncurrent,,,,,,,,33066000.000,33551000.000,30691000.000,31051000.000,30203000.000,30211000.000,32911000.000,30307000.000,23494000.000,21024000.000,19483000.000,18141000.000,26800000.000,23800000.000,25200000.000,19800000.000,37300000.000,33700000.000,33700000.000,32600000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,32095000.000,,,,142986000.000,,,,140555000.000,,,,149571000.000,,,,164600000.000,,,,216100000.000,,,
DeferredTaxAssetsOther,,,,7822000.000,,,,17155000.000,,,,9797000.000,,,,11753000.000,,,,11400000.000,,,,12300000.000,,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,,,,,,,,,,,,,,13800000.000,,,,4400000.000,,,
DeferredTaxAssetsTaxCreditCarryforwards,,,,32334000.000,,,,137628000.000,,,,140069000.000,,,,144219000.000,,,,153500000.000,,,,238000000.000,,,
DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,,,,300000.000,,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,12075000.000,,,,14111000.000,,,,14845000.000,,,,16725000.000,,,,18900000.000,,,,20000000.000,,,
DeferredTaxAssetsTaxDeferredExpenseOther,,,,9296000.000,,,,7776000.000,,,,6287000.000,,,,11397000.000,,,,9700000.000,,,,10300000.000,,,
DeferredTaxAssetsValuationAllowance,,,,18086000.000,,,,211530000.000,,,,210073000.000,,,,218946000.000,,,,250600000.000,,,,456400000.000,,,
DeferredTaxLiabilities,,,,96624000.000,,,,101250000.000,,,,100050000.000,,,,130855000.000,,,,137100000.000,,,,82800000.000,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,96624000.000,,,,101250000.000,,,,100050000.000,,,,127213000.000,,,,137100000.000,,,,176800000.000,,,
DeferredTaxLiabilitiesNoncurrent,112751000.000,113219000.000,116021000.000,35568000.000,32798000.000,32311000.000,31805000.000,25135000.000,25131000.000,25107000.000,25082000.000,26996000.000,35804000.000,37110000.000,37138000.000,39339000.000,39308000.000,39254000.000,39299000.000,41100000.000,41000000.000,80400000.000,80400000.000,120200000.000,120300000.000,109300000.000,109700000.000
