,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-08-03,2012-10-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableTradeCurrent,678000000.000,628000000.000,673000000.000,706000000.000,,,432000000.000,404000000.000,334000000.000,,,263000000.000,234000000.000,210000000.000,212000000.000,197000000.000,206000000.000,186000000.000,177000000.000,186000000.000,175000000.000,193000000.000,179000000.000
AccountsReceivableNetCurrent,,987000000.000,943000000.000,996000000.000,,,684000000.000,585000000.000,458000000.000,,,396000000.000,381000000.000,344000000.000,,,,,268000000.000,268000000.000,265000000.000,266000000.000,251000000.000
AccrualForEnvironmentalLossContingenciesGross,,,,96000000.000,,,116000000.000,,125000000.000,,,80000000.000,31000000.000,29000000.000,,,,,,,,,
AccruedAdvertisingCurrent,,,,245000000.000,,,106000000.000,,55000000.000,,,,,36000000.000,,,,,,,,,
AccruedEnvironmentalLossContingenciesNoncurrent,,,,96000000.000,,,72000000.000,,,,,,,,19000000.000,,,,,,,12000000.000,12000000.000
AccruedIncomeTaxes,,,,3000000.000,,,5000000.000,,,,,,,,1000000.000,,,,,,,,
AccumulatedDeferredInvestmentTaxCredit,,,,,,,153000000.000,,,,125000000.000,,,,100000000.000,,,,,,,71000000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,5062000000.000,,4970000000.000,4590000000.000,,,4412000000.000,4289000000.000,3487000000.000,,,116000000.000,163000000.000,201000000.000,231000000.000,258000000.000,289000000.000,314000000.000,336000000.000,347000000.000,,326000000.000,360000000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,1000000.000,,,1000000.000,,1000000.000,,,,,,,1000000.000,-1000000.000,-1000000.000,2000000.000,2000000.000,2000000.000,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,-7000000.000,,,-2000000.000,,-2000000.000,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,2993000000.000,,,2933000000.000,,-2485000000.000,,,,,-63000000.000,104000000.000,97000000.000,99000000.000,102000000.000,348000000.000,350000000.000,351000000.000,342000000.000,345000000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,333000000.000,,,318000000.000,,333000000.000,,,,,-9000000.000,-32000000.000,-39000000.000,-36000000.000,-59000000.000,-59000000.000,-58000000.000,-57000000.000,-96000000.000,-82000000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-2092000000.000,-2065000000.000,-2079000000.000,-2666000000.000,,,-2616000000.000,-2544000000.000,-2153000000.000,,,100000000.000,92000000.000,54000000.000,-136000000.000,-135000000.000,-136000000.000,-162000000.000,-405000000.000,-406000000.000,-406000000.000,-438000000.000,-427000000.000
AdditionalPaidInCapitalCommonStock,1110000000.000,1116000000.000,1114000000.000,1108000000.000,,,1105000000.000,1104000000.000,1104000000.000,,,614000000.000,615000000.000,618000000.000,621000000.000,623000000.000,626000000.000,629000000.000,635000000.000,639000000.000,641000000.000,641000000.000,638000000.000
AllowanceForDoubtfulAccountsReceivable,,,63000000.000,,,,,,,,,,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,74000000.000,,51000000.000,,,56000000.000,53000000.000,25000000.000,,,6000000.000,9000000.000,9000000.000,,,,,11000000.000,10000000.000,11000000.000,8000000.000,8000000.000
AssetRetirementObligation,,,,66000000.000,,,70000000.000,,,,,,,,,,,,,,,43000000.000,
AssetRetirementObligationsNoncurrent,,,,66000000.000,,,70000000.000,,,,,,,,53000000.000,,,,,,,43000000.000,43000000.000
Assets,5882000000.000,5334000000.000,5102000000.000,4678000000.000,,,4286000000.000,4096000000.000,3815000000.000,,,3082000000.000,2853000000.000,2679000000.000,2556000000.000,2353000000.000,2322000000.000,2200000000.000,2066000000.000,2042000000.000,1981000000.000,1776000000.000,1717000000.000
AssetsCurrent,3395000000.000,3052000000.000,2950000000.000,2703000000.000,,,2578000000.000,2553000000.000,2602000000.000,,,1938000000.000,1762000000.000,1660000000.000,1550000000.000,1411000000.000,1400000000.000,1325000000.000,1304000000.000,1303000000.000,1237000000.000,1120000000.000,997000000.000
AssetsHeldForSaleAtCarryingValue,,,,,,,,,527000000.000,,,,,,,,,,,,,,
AssetsHeldForSaleCurrent,,,,,,,,,527000000.000,,,109000000.000,,,,,,,,,,,
AssetsHeldForSaleNotPartOfDisposalGroupCurrent,,,,,,,,,,,,,,,,,,,2.000,,,2000000.000,
AssetsHeldInTrust,,,,,,,,,23000000.000,,,,,,,,,,,,,,
