,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,359700000.000,400500000.000,413400000.000,815700000.000,805100000.000,785100000.000,858600000.000,879700000.000,845000000.000,912000000.000,926600000.000,1021900000.000,951200000.000,1004500000.000,1047300000.000,1162400000.000,950600000.000,961000000.000,1034500000.000,1049600000.000,986100000.000,977800000.000,1022700000.000,983200000.000,1039300000.000
AccountsReceivableGross,1090300000.000,1155800000.000,1190800000.000,2144600000.000,2105500000.000,2133900000.000,2265000000.000,2298300000.000,2254500000.000,2508200000.000,2565500000.000,2648900000.000,2603700000.000,2721600000.000,2779600000.000,2704200000.000,2626200000.000,2571100000.000,2531000000.000,2465500000.000,2330000000.000,2394500000.000,2424500000.000,2408800000.000,2428700000.000
AccountsReceivableNetCurrent,1042600000.000,1106700000.000,1143100000.000,2095300000.000,2049000000.000,2076900000.000,2199000000.000,2225100000.000,2182100000.000,2436300000.000,2488900000.000,2568000000.000,2519600000.000,2637300000.000,2694400000.000,2626700000.000,2546900000.000,2494800000.000,2450000000.000,2390200000.000,2248800000.000,2318000000.000,2349600000.000,2341200000.000,2358000000.000
AccrualForEnvironmentalLossContingencies,,,,5000000.000,,,,,,,,,,,,,,,,,,,,,
AccruedIncomeTaxesCurrent,58800000.000,36900000.000,36500000.000,81700000.000,136100000.000,58100000.000,73000000.000,77400000.000,108100000.000,72900000.000,68600000.000,80900000.000,89300000.000,43400000.000,81900000.000,88600000.000,70500000.000,45800000.000,103600000.000,52200000.000,58500000.000,86600000.000,83300000.000,87400000.000,95200000.000
AccruedIncomeTaxesNoncurrent,39300000.000,37600000.000,30700000.000,80800000.000,89700000.000,83400000.000,85500000.000,81500000.000,78100000.000,88600000.000,83900000.000,90200000.000,86700000.000,92300000.000,86500000.000,86400000.000,78500000.000,79700000.000,83900000.000,81200000.000,,,,,
AccruedMarketingCostsCurrent,,,,239900000.000,257600000.000,246500000.000,246000000.000,244400000.000,253000000.000,249600000.000,254500000.000,263200000.000,282300000.000,279500000.000,261000000.000,255400000.000,268800000.000,269200000.000,263800000.000,270500000.000,272000000.000,290400000.000,287100000.000,275200000.000,294300000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1795600000.000,1867400000.000,1919700000.000,1881700000.000,1972200000.000,1956800000.000,2060000000.000,2079000000.000,2095000000.000,2141600000.000,2211100000.000,2270600000.000,2374200000.000,2468400000.000,2546800000.000,2490800000.000,2571400000.000,2667400000.000,2757600000.000,2727200000.000,2828000000.000,2969500000.000,3073300000.000,3077600000.000,3194700000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,-4600000.000,-12800000.000,-19300000.000,-13500000.000,-15100000.000,-12100000.000,-14600000.000,-13600000.000,-9700000.000,-6100000.000,-4500000.000,-6600000.000,-6600000.000,-10700000.000,-5700000.000,-2700000.000,5100000.000,2200000.000,9400000.000,9000000.000,-1500000.000,-21700000.000,-31200000.000,-8500000.000,-17700000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,388100000.000,385900000.000,380600000.000,481300000.000,474900000.000,465800000.000,461500000.000,613800000.000,602300000.000,590900000.000,581900000.000,235000000.000,233600000.000,230400000.000,224200000.000,552500000.000,525800000.000,514200000.000,507200000.000,486900000.000,478600000.000,478500000.000,435400000.000,511400000.000,508200000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,187500000.000,239200000.000,239200000.000,149900000.000,240500000.000,4200000.000,122500000.000,167700000.000,102800000.000,15000000.000,-114000000.000,-63600000.000,-133100000.000,-109700000.000,-147400000.000,-396700000.000,-666700000.000,-683100000.000,-906800000.000,-945400000.000,-1056000000.000,-992500000.000,-985700000.000,-1193000000.000,-1110200000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-205200000.000,-159500000.000,-160700000.000,-344900000.000,-249500000.000,-473700000.000,-353600000.000,-459700000.000,-509200000.000,-582000000.000,-700400000.000,-305200000.000,-373300000.000,-350800000.000,-377300000.000,-951900000.000,-1187400000.000,-1195100000.000,-1404600000.000,-1423300000.000,-1536100000.000,-1492700000.000,-1452300000.000,-1712900000.000,-1636100000.000
AdditionalPaidInCapitalCommonStock,1341500000.000,1388500000.000,1404800000.000,3980800000.000,4049500000.000,4137400000.000,4162500000.000,4249100000.000,4309700000.000,4609900000.000,4647200000.000,4692000000.000,4757000000.000,4791400000.000,4832600000.000,4874500000.000,4881300000.000,5001600000.000,5022800000.000,5086100000.000,5088000000.000,5181100000.000,5236100000.000,5270800000.000,5284300000.000
AllowanceForDoubtfulAccountsReceivable,47700000.000,49100000.000,47700000.000,49300000.000,56500000.000,57000000.000,66000000.000,73200000.000,72400000.000,71900000.000,76600000.000,80900000.000,84100000.000,84300000.000,85200000.000,77500000.000,79300000.000,76300000.000,81000000.000,75300000.000,81200000.000,76500000.000,74900000.000,67600000.000,70700000.000
AssetRetirementObligation,,,,11000000.000,,,,13000000.000,,,,10500000.000,,,,9500000.000,,,,10200000.000,,,,,
