,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2017-03-31
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,,,,,,,,,,,,,,,,,972.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,200841.000,464344.000,207803.000,149609.000,162724.000,238853.000,172640.000,179155.000,166658.000,197477.000,153313.000,137817.000,139288.000,334093.000,57331.000,49566.000,53768.000,196017.000,61564.000
AllocatedShareBasedCompensationExpense,,,,,200841.000,599836.000,220063.000,149609.000,162724.000,275352.000,172640.000,179155.000,166658.000,229921.000,153313.000,137817.000,139288.000,349669.000,57330.000,49565.000,53768.000,196020.000,61564.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-4946778.000,,,,-2888784.000,,,,806800.000,,,,-788203.000,,,,-958886.000,,,,-1532674.000,,-1011639.000
ContractRevenueCost,45570.000,86123.000,127229.000,240891.000,183076.000,213459.000,121624.000,197066.000,180734.000,218416.000,153647.000,3056231.000,148234.000,227867.000,291701.000,130236.000,64798.000,96029.000,194976.000,303441.000,236949.000,251291.000,81064.000
ContractsRevenue,76302.000,135547.000,210047.000,363172.000,365379.000,350634.000,235794.000,316749.000,261251.000,203282.000,214898.000,5456874.000,196516.000,270496.000,240827.000,89289.000,109863.000,116144.000,202447.000,285493.000,261820.000,292204.000,169510.000
CostOfGoodsSold,681595.000,1227559.000,2013565.000,2740929.000,1282863.000,518754.000,1529852.000,1001536.000,1105535.000,974979.000,1053716.000,-2391162.000,464028.000,489281.000,369769.000,778532.000,577446.000,1289315.000,666913.000,809834.000,759089.000,525313.000,607849.000
CostsAndExpenses,2374118.000,3921345.000,3569547.000,5231782.000,3687016.000,3764215.000,6488471.000,3946439.000,2865157.000,2455793.000,2112648.000,2395105.000,2336374.000,3108143.000,2212352.000,3218766.000,2976098.000,4152953.000,2709561.000,2444714.000,3399601.000,3397133.000,2624902.000
DeferredCompensationArrangementWithIndividualEmployerContribution,-701991.000,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnAccumulatedPostretirementBenefitObligation1,,,,,,,,,,,,,1000.000,,,,1000.000,,,,,,
DepreciationAndAmortization,297273.000,,,,,,,,,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,,,,,330430.000,,,,306307.000,,,,260484.000,,,,258520.000,,,,163054.000,,103405.000
EarningsPerShareBasicAndDiluted,-0.030,-0.040,-0.030,-0.040,-0.040,-0.070,-0.120,-0.060,-0.020,-0.010,0.000,-0.040,-0.030,-0.050,-0.030,-0.040,-0.060,-0.060,-0.030,-0.010,-0.040,-0.050,-0.030
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,,,,,26142.000,12839.000,12840.000,12491.000,18882.000,19935.000,19936.000,19935.000,24736.000,25635.000,25186.000,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilitySettlements,,,,,152007.000,,,,,,524000.000,,,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,3138.000,0.000,,,,-407.000,,40032.000,,,,,,,,,,,,,,
